state	year	precinct	precinct_code	g2012_REG_tv	g2012_BALL_tv	cd	ld	sd	g2012_USP_adv	g2012_USP_arv	g2012_USP_atv	g2012_USP_dv	g2012_USP_edv	g2012_USP_erv	g2012_USP_etv	g2012_USP_ldv	g2012_USP_lrv	g2012_USP_ltv	g2012_USP_rv	g2012_USP_tv	g2012_USS_adv	g2012_USS_arv	g2012_USS_atv	g2012_USS_dv	g2012_USS_edv	g2012_USS_erv	g2012_USS_etv	g2012_USS_ldv	g2012_USS_lrv	g2012_USS_ltv	g2012_USS_rv	g2012_USS_tv	g2012_USH_adv	g2012_USH_edv	g2012_USH_ldv	g2012_USH_arv	g2012_USH_erv	g2012_USH_lrv	g2012_USH_atv	g2012_USH_etv	g2012_USH_ltv	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	g2012_STH_adv	g2012_STH_edv	g2012_STH_ldv	g2012_STH_arv	g2012_STH_erv	g2012_STH_lrv	g2012_STH_atv	g2012_STH_etv	g2012_STH_ltv	g2012_STH_dv	g2012_STH_rv	g2012_STH_tv	g2012_STS_adv	g2012_STS_edv	g2012_STS_ldv	g2012_STS_arv	g2012_STS_erv	g2012_STS_lrv	g2012_STS_atv	g2012_STS_etv	g2012_STS_ltv	g2012_STS_dv	g2012_STS_rv	g2012_STS_tv
"HI"	2012	"20-03"	110	3686	2485	1	20	10	839	209	1061	1916	111	25	139	966	280	1271	514	2471	737	312	1049	1685	103	33	136	845	413	1258	758	2443	667	89	758	377	46	492	1044	135	1250	1514	915	2429	759	86	723	89	12	128	1041	133	1236	1568	229	2410	792	105	905	168	24	240	960	129	1145	1802	432	2234
"HI"	2012	"20-04"	111	3111	2154	1	20	10	679	220	914	1582	107	29	136	796	268	1092	517	2142	594	304	898	1381	95	39	134	692	389	1081	732	2113	549	92	647	353	43	414	902	135	1061	1288	810	2098	576	78	500	135	16	113	891	134	1001	1154	264	2026	626	97	666	191	27	210	817	124	876	1389	428	1817
"HI"	2012	"21-01"	112	755	436	1		10	115	30	148	329	18	6	26	196	54	260	90	434	102	44	146	295	19	6	25	174	82	256	132	427	91	18	152	56	7	103	147	25	255	261	166	427													106	19	181	28	5	54	134	24	235	306	87	393
"HI"	2012	"21-02"	113	2506	1513	1		10	466	109	578	1195	93	22	115	636	164	816	295	1509	417	158	575	1072	83	32	115	572	233	805	423	1495	363	74	517	209	41	276	572	115	793	954	526	1480													450	79	578	90	25	150	540	104	728	1107	265	1372
"HI"	2012	"21-03"	114	6296	3701	1		10	1054	309	1383	2718	233	56	293	1431	522	2008	887	3684	916	448	1364	2360	195	93	288	1249	736	1985	1277	3637	854	192	1130	508	96	832	1362	288	1962	2176	1436	3612													961	201	1265	277	58	477	1238	259	1742	2427	812	3239
"HI"	2012	"21-04"	115	2123	1262	1		12	407	96	508	971	70	21	92	494	138	647	255	1247	350	156	506	842	58	29	87	434	203	637	388	1230	330	59	390	175	34	243	505	93	633	779	452	1231													343	59	402	121	24	182	464	83	584	804	327	1131
"HI"	2012	"22-01"	116	6115	3114	1	22	12	651	336	1002	2043	196	68	277	1196	569	1822	973	3101	553	439	992	1805	176	98	274	1076	719	1795	1256	3061	517	169	991	467	102	773	984	271	1764	1677	1342	3019	624	188	1127	292	61	472	916	249	1599	1939	825	2764	562	181	978	357	70	635	919	251	1613	1721	1062	2783
"HI"	2012	"22-02"	117	5820	3265	1	22	12	824	511	1363	1999	274	131	410	901	533	1477	1175	3250	735	615	1350	1765	248	162	410	782	671	1453	1448	3213	682	238	703	653	170	724	1335	408	1427	1623	1547	3170	875	278	895	378	101	421	1253	379	1316	2048	900	2948	745	247	770	487	130	540	1232	377	1310	1762	1157	2919
"HI"	2012	"22-03"	118	840	583	1	22	12	173	127	302	369	45	26	72	151	54	207	207	581	150	151	301	302	32	39	71	120	86	206	276	578	143	34	111	155	35	84	298	69	195	288	274	562	170	39	121	91	18	52	261	57	173	330	161	491	152	35	109	120	23	66	272	58	175	296	209	505
"HI"	2012	"23-01"	119	243	160	1	23	10	114	38	152	119	5	2	7	0	0	0	40	159	91	57	148	96	5	2	7	0	0	0	59	155	83	2	0	67	5	0	150	7	0	85	72	157	95	4	0	36	3	0	131	7	0	99	39	138	107	3	0	36	2	0	143	5	0	110	38	148
