0.362010	0.471474	0.433146	0.393015	0.342568	0.505364	0.431309	0.435123	0.465553	0.407567	0.693210	0.499446
0.067475	0.114157	0.098684	0.040189	0.078190	0.003493	-0.000164	0.107032	0.084601	-0.059004	0.276066	0.152309
["DEM":0.593194,"REP":0.406806]	["DEM":0.621063,"REP":0.378937]	["DEM":0.613916,"REP":0.386084]	["DEM":0.551129,"REP":0.448871]	["DEM":0.614123,"REP":0.385877]	["DEM":0.503455,"REP":0.496545]	["DEM":0.499810,"REP":0.500190]	["DEM":0.622991,"REP":0.377009]	["DEM":0.590860,"REP":0.409140]	["DEM":0.427614,"REP":0.572386]	["DEM":0.699121,"REP":0.300879]	["DEM":0.652479,"REP":0.347521]
