0.091811	0.283148	0.364263	0.481380	0.188492	0.441053	0.315284	0.226430	0.123495
-0.036752	-0.104552	-0.136916	-0.172483	-0.069584	-0.166772	-0.076872	-0.005942	-0.042768
["DEM":0.299851,"REP":0.700149]	["DEM":0.315377,"REP":0.684623]	["DEM":0.312064,"REP":0.687936]	["DEM":0.320846,"REP":0.679154]	["DEM":0.315419,"REP":0.684581]	["DEM":0.310939,"REP":0.689061]	["DEM":0.378091,"REP":0.621909]	["DEM":0.486880,"REP":0.513120]	["DEM":0.326843,"REP":0.673157]
