0.303768	0.196843	0.625583	0.260534	0.542916	0.540598	0.180336	0.090212	0.394700
-0.104321	-0.083325	-0.132898	-0.026610	0.083762	-0.156982	-0.040883	-0.035662	-0.162688
["DEM":0.328289,"REP":0.671711]	["DEM":0.288348,"REP":0.711652]	["DEM":0.393781,"REP":0.606219]	["DEM":0.448931,"REP":0.551069]	["DEM":0.577141,"REP":0.422859]	["DEM":0.354807,"REP":0.645193]	["DEM":0.386647,"REP":0.613353]	["DEM":0.302340,"REP":0.697660]	["DEM":0.293909,"REP":0.706091]
