0.577221	0.209706	0.348824	0.226855	0.389471	0.235024	0.334688	0.253643
0.182711	0.027561	0.100010	0.031143	0.136964	0.024861	-0.043272	0.016770
["DEM":0.655145,"REP":0.340111,"GRE":0.001557,"IND":0.000247,"LIB":0.002940]	["DEM":0.563144,"REP":0.432313,"GRE":0.001406,"IND":0.000180,"LIB":0.002957]	["DEM":0.640371,"REP":0.354995,"GRE":0.001311,"IND":0.000214,"LIB":0.003110]	["DEM":0.565771,"REP":0.429181,"GRE":0.001268,"IND":0.000136,"LIB":0.003644]	["DEM":0.673214,"REP":0.322911,"GRE":0.001237,"IND":0.000249,"LIB":0.002389]	["DEM":0.550722,"REP":0.445354,"GRE":0.001240,"IND":0.000172,"LIB":0.002512]	["DEM":0.433704,"REP":0.562503,"GRE":0.001079,"IND":0.000113,"LIB":0.002601]	["DEM":0.530425,"REP":0.464634,"GRE":0.001664,"IND":0.000147,"LIB":0.003130]
