0.132540	0.064255	0.285829	0.240854	0.044090	0.176575	0.247289	0.142097	0.207416	0.081643
-0.013880	-0.011581	0.083510	0.069641	0.013523	0.076605	0.057211	0.009601	0.012311	0.004134
["DEM":0.447640,"REP":0.552360]	["DEM":0.409883,"REP":0.590117]	["DEM":0.646085,"REP":0.353915]	["DEM":0.644572,"REP":0.355428]	["DEM":0.653356,"REP":0.346644]	["DEM":0.716919,"REP":0.283081]	["DEM":0.615677,"REP":0.384323]	["DEM":0.533785,"REP":0.466215]	["DEM":0.529677,"REP":0.470323]	["DEM":0.525317,"REP":0.474683]
