0.477028	0.430497	0.589402	0.445182	0.387478	0.634357	0.453023	0.328164
-0.066402	0.032237	0.054128	0.109228	-0.030190	0.113886	0.082067	0.030140
["DEM":0.428686,"REP":0.567332,"GRE":0.001138,"IND":0.000127,"LIB":0.002718]	["DEM":0.535365,"REP":0.460771,"GRE":0.001274,"IND":0.000131,"LIB":0.002458]	["DEM":0.543103,"REP":0.451741,"GRE":0.001678,"IND":0.000166,"LIB":0.003312]	["DEM":0.619716,"REP":0.375527,"GRE":0.001565,"IND":0.000257,"LIB":0.002935]	["DEM":0.459400,"REP":0.537036,"GRE":0.001066,"IND":0.000129,"LIB":0.002369]	["DEM":0.587448,"REP":0.408623,"GRE":0.001232,"IND":0.000189,"LIB":0.002508]	["DEM":0.587513,"REP":0.407299,"GRE":0.001647,"IND":0.000127,"LIB":0.003413]	["DEM":0.543512,"REP":0.452074,"GRE":0.001261,"IND":0.000126,"LIB":0.003027]
