0.449756	0.550262	0.304129	0.333183
0.033711	0.047698	-0.005334	-0.038084
["DEM":0.268599,"REP":0.231142,"OTH":0.000259]	["DEM":0.271522,"REP":0.228205,"OTH":0.000273]	["DEM":0.245448,"REP":0.254211,"OTH":0.000341]	["DEM":0.223387,"REP":0.281045,"OTH":-0.004433]
