0.558982	0.527042	0.471143	0.567141	0.369819	0.701631	0.503764
0.087592	0.017998	-0.057150	0.026808	0.006360	0.111068	0.050279
["DEM":0.563076,"REP":0.421650,"OTH":0.015274]	["DEM":0.500410,"REP":0.482926,"OTH":0.016665]	["DEM":0.423991,"REP":0.560651,"OTH":0.015358]	["DEM":0.506882,"REP":0.476366,"OTH":0.016752]	["DEM":0.493931,"REP":0.491402,"OTH":0.014668]	["DEM":0.560502,"REP":0.420850,"OTH":0.018648]	["DEM":0.534796,"REP":0.450097,"OTH":0.015107]
