0.265335	0.281934	0.270021	0.101198	0.085385	0.088081	0.549640	0.368200	0.153667	0.733724	0.217209	0.675416	0.744169	0.568273	0.596127	0.471406	0.397103	0.479493
0.053183	-0.021425	-0.010322	-0.009480	-0.012375	-0.026298	0.074039	0.016800	-0.007049	0.413702	0.005127	0.230730	0.063625	0.374877	0.281826	-0.025644	-0.051906	-0.022400
["DEM":0.600219,"REP":0.399781]	["DEM":0.462003,"REP":0.537997]	["DEM":0.480887,"REP":0.519113]	["DEM":0.453163,"REP":0.546837]	["DEM":0.427534,"REP":0.572466]	["DEM":0.350715,"REP":0.649285]	["DEM":0.567353,"REP":0.432647]	["DEM":0.522814,"REP":0.477186]	["DEM":0.477064,"REP":0.522936]	["DEM":0.781919,"REP":0.218081]	["DEM":0.511801,"REP":0.488199]	["DEM":0.670806,"REP":0.329194]	["DEM":0.542749,"REP":0.457251]	["DEM":0.829839,"REP":0.170161]	["DEM":0.736381,"REP":0.263619]	["DEM":0.472801,"REP":0.527199]	["DEM":0.434644,"REP":0.565356]	["DEM":0.476642,"REP":0.523358]
