0.133431	0.363066	0.648133	0.529983	0.198366
-0.047732	-0.150411	-0.241755	-0.216804	-0.077805
["DEM":0.321135,"REP":0.678865,"OTH":0.000000]	["DEM":0.292828,"REP":0.707141,"OTH":0.000031]	["DEM":0.313471,"REP":0.686501,"OTH":0.000027]	["DEM":0.295446,"REP":0.704538,"OTH":0.000016]	["DEM":0.303886,"REP":0.696114,"OTH":0.000000]
