0.226776	0.074004	0.144808	0.191832	0.060272	0.080965	0.129708
0.101248	0.005809	0.039149	0.104151	-0.018100	-0.012979	0.080267
["DEM":0.707249,"REP":0.276767,"OTH":0.015984]	["DEM":0.523019,"REP":0.460752,"OTH":0.016229]	["DEM":0.613530,"REP":0.364823,"OTH":0.021647]	["DEM":0.755914,"REP":0.228537,"OTH":0.015549]	["DEM":0.329672,"REP":0.650148,"OTH":0.020180]	["DEM":0.405201,"REP":0.580153,"OTH":0.014646]	["DEM":0.793994,"REP":0.190584,"OTH":0.015422]
