0.590002	0.544443	0.571768	0.135830	0.252326	0.059597	0.330197	0.465649	0.584470	0.608515
0.326201	0.190943	0.074944	0.015396	-0.014130	-0.015739	0.053541	0.125964	0.104568	0.185916
["DEM":0.776440,"REP":0.223560]	["DEM":0.675356,"REP":0.324644]	["DEM":0.565537,"REP":0.434463]	["DEM":0.556673,"REP":0.443327]	["DEM":0.472001,"REP":0.527999]	["DEM":0.367958,"REP":0.632042]	["DEM":0.581074,"REP":0.418926]	["DEM":0.635256,"REP":0.364744]	["DEM":0.589456,"REP":0.410544]	["DEM":0.652762,"REP":0.347238]
