0.102801	0.428849	0.563204	0.538794	0.218203	0.430426	0.569575
-0.027498	0.035102	-0.297890	-0.122906	-0.125542	0.302654	-0.248189
["DEM":0.181788,"REP":0.314555,"OTH":0.003658]	["DEM":0.269030,"REP":0.228321,"OTH":0.002649]	["DEM":0.116117,"REP":0.376865,"OTH":0.007019]	["DEM":0.190968,"REP":0.303840,"OTH":0.005192]	["DEM":0.104601,"REP":0.388038,"OTH":0.007361]	["DEM":0.424266,"REP":0.073947,"OTH":0.001787]	["DEM":0.139827,"REP":0.355787,"OTH":0.004386]
