0.175189	0.241002	0.180908	0.048788	0.121642	0.098260	0.066550	0.057400	0.264574	0.164528	0.140091	0.133506	0.099716	0.050722
0.151224	-0.110901	-0.033400	-0.017767	-0.029733	-0.031287	-0.036462	-0.014032	0.093754	0.020633	0.106389	-0.054875	0.004863	-0.028141
["DEM":0.928712,"REP":0.068397,"LIB":0.002891]	["DEM":0.257249,"REP":0.730083,"LIB":0.012668]	["DEM":0.395684,"REP":0.592313,"LIB":0.012003]	["DEM":0.309208,"REP":0.682082,"LIB":0.008710]	["DEM":0.371541,"REP":0.622215,"LIB":0.006244]	["DEM":0.335483,"REP":0.659205,"LIB":0.005312]	["DEM":0.216919,"REP":0.773944,"LIB":0.009137]	["DEM":0.370356,"REP":0.622229,"LIB":0.007415]	["DEM":0.665084,"REP":0.322822,"LIB":0.012094]	["DEM":0.552594,"REP":0.437298,"LIB":0.010109]	["DEM":0.873958,"REP":0.120286,"LIB":0.005756]	["DEM":0.281301,"REP":0.705516,"LIB":0.013183]	["DEM":0.515107,"REP":0.475618,"LIB":0.009275]	["DEM":0.211722,"REP":0.777402,"LIB":0.010876]
