state	year	county	precinct	g2012_REG_tv	g2012_USP_adv	g2012_USP_arv	g2012_USP_atv	g2012_USP_dv	g2012_USP_edv	g2012_USP_erv	g2012_USP_etv	g2012_USP_ldv	g2012_USP_lrv	g2012_USP_ltv	g2012_USP_pdv	g2012_USP_prv	g2012_USP_ptv	g2012_USP_rv	g2012_USP_tv	cd	g2012_USH_lrv	g2012_USH_arv	g2012_USH_erv	g2012_USH_prv	g2012_USH_rv	g2012_USH_ldv	g2012_USH_adv	g2012_USH_edv	g2012_USH_pdv	g2012_USH_dv	g2012_USH_tv	cd2	g2012_REG_tv2	g2012_USH_lrv2	g2012_USH_arv2	g2012_USH_erv2	g2012_USH_prv2	g2012_USH_rv2	g2012_USH_ldv2	g2012_USH_adv2	g2012_USH_edv2	g2012_USH_pdv2	g2012_USH_dv2	g2012_USH_tv2	cd3	g2012_REG_tv3	g2012_USH_lrv3	g2012_USH_arv3	g2012_USH_erv3	g2012_USH_prv3	g2012_USH_rv3	g2012_USH_ldv3	g2012_USH_adv3	g2012_USH_edv3	g2012_USH_pdv3	g2012_USH_dv3	g2012_USH_tv3	cd4	g2012_REG_tv4	g2012_USH_lrv4	g2012_USH_arv4	g2012_USH_erv4	g2012_USH_prv4	g2012_USH_rv4	g2012_USH_ldv4	g2012_USH_adv4	g2012_USH_edv4	g2012_USH_pdv4	g2012_USH_dv4	g2012_USH_tv4	ld	g2012_STH_lrv	g2012_STH_arv	g2012_STH_erv	g2012_STH_prv	g2012_STH_rv	g2012_STH_ldv	g2012_STH_adv	g2012_STH_edv	g2012_STH_pdv	g2012_STH_dv	g2012_STH_tv	ld2	g2012_STH_lrv2	g2012_STH_arv2	g2012_STH_erv2	g2012_STH_prv2	g2012_STH_rv2	g2012_STH_ldv2	g2012_STH_adv2	g2012_STH_edv2	g2012_STH_pdv2	g2012_STH_dv2	g2012_STH_tv2	ld3	g2012_STH_lrv3	g2012_STH_arv3	g2012_STH_erv3	g2012_STH_prv3	g2012_STH_rv3	g2012_STH_ldv3	g2012_STH_adv3	g2012_STH_edv3	g2012_STH_pdv3	g2012_STH_dv3	g2012_STH_tv3	sd	g2012_STS_lrv	g2012_STS_arv	g2012_STS_erv	g2012_STS_prv	g2012_STS_rv	g2012_STS_ldv	g2012_STS_adv	g2012_STS_edv	g2012_STS_pdv	g2012_STS_dv	g2012_STS_tv	sd2	g2012_STS_lrv2	g2012_STS_arv2	g2012_STS_erv2	g2012_STS_prv2	g2012_STS_rv2	g2012_STS_ldv2	g2012_STS_adv2	g2012_STS_edv2	g2012_STS_pdv2	g2012_STS_dv2	g2012_STS_tv2	sd3	g2012_STS_lrv3	g2012_STS_arv3	g2012_STS_erv3	g2012_STS_prv3	g2012_STS_rv3	g2012_STS_ldv3	g2012_STS_adv3	g2012_STS_edv3	g2012_STS_pdv3	g2012_STS_dv3	g2012_STS_tv3
"GA"	2012	"Fayette"	"RAREOVER"	2346	29	52	82	461	335	1093	1437	97	271	380	0	0	0	1416	1899	3	312	57	1179	0	1548						1548																																								64						235	42	815	0	1092	1092																									16	307	57	1169	0	1533						1533																								
"GA"	2012	"Fayette"	"RISING STAR"	3073	23	115	139	508	289	1021	1325	196	668	879	0	0	0	1804	2343	3	737	116	1070	0	1923						1923																																								72	730	116	1075	0	1921						1921																									16	718	113	1073	0	1904						1904																								
"GA"	2012	"Fayette"	"SANDY CREEK"	3549	72	58	133	1414	925	903	1839	417	378	809	0	0	0	1339	2781	3	358	48	853	0	1259						1259	13	3549	143	19	313	0	475	122	25	259	0	406	881																											64						562	85	1249	0	1896	1896																									34						559	81	1247	0	1887	1887																								
"GA"	2012	"Fayette"	"SHAKERAG EAST"	1406	15	36	52	272	115	409	526	141	291	449	1	0	1	736	1028	3	356	30	414	1	801						801																																								72	353	31	416	1	801						801																									16	348	31	415	0	794						794																								
"GA"	2012	"Fayette"	"SHAKERAG WEST"	1161	15	27	44	226	131	499	638	80	145	235	0	0	0	671	917	3	183	32	510	0	725						725																																								72	179	28	515	0	722						722																									16	177	31	511	0	719						719																								
"GA"	2012	"Fayette"	"SPRING HILL"	2692	53	72	127	885	574	739	1319	258	388	658	0	0	0	1199	2104	3	499	83	951	0	1533						1533																																								63						413	76	838	0	1327	1327																									16	484	86	934	0	1504						1504																								
"GA"	2012	"Fayette"	"STARRSMILL"	3138	30	146	181	421	249	1241	1500	142	699	860	0	0	0	2086	2541	3	727	147	1257	0	2131						2131																																								72	712	146	1243	0	2101						2101																									16	713	144	1239	0	2096						2096																								
"GA"	2012	"Fayette"	"WHITEWATER"	2644	24	116	144	364	207	1061	1277	133	596	742	0	0	0	1773	2163	3	636	109	1090	0	1835						1835																																								72	635	111	1087	0	1833						1833																									16	637	109	1081	0	1827						1827																								
"GA"	2012	"Fayette"	"WILLOW POND"	2180	14	61	77	508	315	696	1024	179	421	616	0	0	0	1178	1717	3	504	67	791	0	1362						1362																																								63						235	24	414	0	673	673	72	175	28	250	0	453						453													16	496	66	769	0	1331						1331																								
"GA"	2012	"Fayette"	"WILLOWBEND"	1800	14	52	67	324	162	581	748	147	394	553	1	0	1	1027	1369	3	470	53	592	1	1116						1116																																								72	468	54	601	1	1124						1124																									16	463	54	595	1	1113						1113																								
"GA"	2012	"Fayette"	"WINDGATE"	919	7	15	22	197	103	280	387	87	257	352	0	0	0	552	761	3	284	17	293	0	594						594																																								72	283	17	294	0	594						594																									16	278	17	295	0	590						590																								
"GA"	2012	"Fayette"	"WOOLSEY"	1918	19	82	101	209	97	701	806	93	600	699	0	0	0	1383	1606	3	612	82	704	0	1398						1398																																								73	607	74	686	0	1367						1367																									16	613	77	690	0	1380						1380																								
