0.604803	0.482407	0.507901	0.151911	0.269942	0.274501	0.319213	0.576456	0.192277	0.512655	0.423438	0.237068	0.492833	0.434277	0.401168	0.587418
0.049782	-0.002425	0.076141	-0.024112	-0.007237	-0.038597	0.044875	-0.089267	0.011120	0.091989	-0.006879	0.024032	0.198199	0.203810	-0.014734	0.015727
["DEM":0.267707,"REP":0.226988,"OTH":0.005305]	["DEM":0.245584,"REP":0.248066,"OTH":0.006350]	["DEM":0.282842,"REP":0.209094,"OTH":0.008064]	["DEM":0.205963,"REP":0.283684,"OTH":0.010352]	["DEM":0.239553,"REP":0.252751,"OTH":0.007696]	["DEM":0.210456,"REP":0.279323,"OTH":0.010221]	["DEM":0.280160,"REP":0.211099,"OTH":0.008741]	["DEM":0.208529,"REP":0.284946,"OTH":0.006525]	["DEM":0.260332,"REP":0.231867,"OTH":0.007801]	["DEM":0.290617,"REP":0.202189,"OTH":0.007194]	["DEM":0.241230,"REP":0.249197,"OTH":0.009573]	["DEM":0.270103,"REP":0.220382,"OTH":0.009515]	["DEM":0.346450,"REP":0.147715,"OTH":0.005835]	["DEM":0.363102,"REP":0.131147,"OTH":0.005751]	["DEM":0.236362,"REP":0.254385,"OTH":0.009253]	["DEM":0.253312,"REP":0.240102,"OTH":0.006586]
