0.660640	0.424183	0.713781	0.657106	0.551820	0.480156	0.778736	0.356961	0.471575
-0.023732	0.078040	0.046946	0.058324	0.015389	0.019138	-0.168594	-0.025293	-0.013798
["DEM":0.470430,"REP":0.517962,"OTH":0.011608]	["DEM":0.581773,"REP":0.408011,"OTH":0.010215]	["DEM":0.522060,"REP":0.467115,"OTH":0.010826]	["DEM":0.533051,"REP":0.455621,"OTH":0.011328]	["DEM":0.502213,"REP":0.486056,"OTH":0.011731]	["DEM":0.501461,"REP":0.480071,"OTH":0.018468]	["DEM":0.377729,"REP":0.608248,"OTH":0.014023]	["DEM":0.451017,"REP":0.535428,"OTH":0.013555]	["DEM":0.471455,"REP":0.514629,"OTH":0.013915]
