0.200934	0.300812	0.507118	0.357320	0.302061	0.441146	0.338855	0.494533	0.363064	0.487747	0.364233	0.580604
0.022308	0.064465	0.226309	0.125010	0.057735	-0.054022	-0.004404	0.113537	0.032488	0.129130	0.073365	-0.075938
["DEM":0.555511,"REP":0.444489]	["DEM":0.607152,"REP":0.392848]	["DEM":0.723132,"REP":0.276868]	["DEM":0.674927,"REP":0.325073]	["DEM":0.595569,"REP":0.404431]	["DEM":0.438771,"REP":0.561229]	["DEM":0.493502,"REP":0.506498]	["DEM":0.614792,"REP":0.385208]	["DEM":0.544741,"REP":0.455259]	["DEM":0.632374,"REP":0.367626]	["DEM":0.600712,"REP":0.399288]	["DEM":0.434604,"REP":0.565396]
