0.349430	0.118222	0.565345	0.532950
0.067696	-0.008937	0.048929	0.063924
["DEM":0.596866,"REP":0.403134]	["DEM":0.462201,"REP":0.537799]	["DEM":0.543274,"REP":0.456726]	["DEM":0.559972,"REP":0.440028]
