0.301464	0.408237	0.298859	0.368866	0.589762	0.255483
-0.062673	-0.112823	-0.046620	-0.082574	-0.211951	0.125575
["DEM":0.396053,"REP":0.603947]	["DEM":0.361817,"REP":0.638183]	["DEM":0.422002,"REP":0.577998]	["DEM":0.388071,"REP":0.611929]	["DEM":0.320308,"REP":0.679692]	["DEM":0.745759,"REP":0.254241]
