0.426526	0.544193	0.616935	0.345821	0.401498	0.521192	0.284781	0.203340
0.060774	0.209810	-0.040526	0.048261	0.041490	0.008511	-0.023316	0.004044
["DEM":0.559771,"REP":0.420147,"OTH":0.020082]	["DEM":0.680316,"REP":0.301704,"OTH":0.017980]	["DEM":0.457881,"REP":0.522266,"OTH":0.019853]	["DEM":0.556357,"REP":0.420089,"OTH":0.023554]	["DEM":0.541355,"REP":0.439948,"OTH":0.018697]	["DEM":0.499413,"REP":0.483364,"OTH":0.017224]	["DEM":0.448215,"REP":0.528153,"OTH":0.023632]	["DEM":0.498225,"REP":0.478792,"OTH":0.022984]
