0.092325	0.039980	0.145337	0.084304	0.095899	0.170027	0.073633	0.061841	0.095862	0.065686	0.159130	0.110211	0.028984
-0.000506	-0.000247	-0.045992	-0.001501	0.053927	0.036658	-0.013201	0.001760	0.027928	-0.010974	-0.021887	-0.001008	-0.009268
["DEM":0.487714,"REP":0.502738,"LIB":0.006913,"OTH":0.002635]	["DEM":0.491567,"REP":0.503089,"LIB":0.003679,"OTH":0.001666]	["DEM":0.332758,"REP":0.658227,"LIB":0.006756,"OTH":0.002259]	["DEM":0.481741,"REP":0.508900,"LIB":0.006510,"OTH":0.002848]	["DEM":0.774895,"REP":0.218833,"LIB":0.003584,"OTH":0.002688]	["DEM":0.599419,"REP":0.392198,"LIB":0.005409,"OTH":0.002973]	["DEM":0.398385,"REP":0.589640,"LIB":0.007800,"OTH":0.004176]	["DEM":0.505168,"REP":0.485766,"LIB":0.005923,"OTH":0.003143]	["DEM":0.636327,"REP":0.354331,"LIB":0.006305,"OTH":0.003037]	["DEM":0.407523,"REP":0.583535,"LIB":0.005168,"OTH":0.003774]	["DEM":0.420548,"REP":0.568771,"LIB":0.007464,"OTH":0.003217]	["DEM":0.488089,"REP":0.504573,"LIB":0.004911,"OTH":0.002427]	["DEM":0.330260,"REP":0.659878,"LIB":0.005038,"OTH":0.004824]
