0.421410	0.234167	0.656443	0.649465	0.064991	0.762877	0.561561	0.373546	0.124460
-0.023819	-0.007296	-0.025142	-0.094924	0.011094	-0.075685	-0.058497	0.015667	-0.036387
["DEM":0.465399,"REP":0.521161,"LIB":0.013439]	["DEM":0.479383,"REP":0.510216,"LIB":0.010401]	["DEM":0.475400,"REP":0.513266,"LIB":0.011334]	["DEM":0.421507,"REP":0.565811,"LIB":0.012682]	["DEM":0.579080,"REP":0.410208,"LIB":0.010712]	["DEM":0.445098,"REP":0.543142,"LIB":0.011760]	["DEM":0.441565,"REP":0.544257,"LIB":0.014177]	["DEM":0.515424,"REP":0.473929,"LIB":0.010647]	["DEM":0.349958,"REP":0.639125,"LIB":0.010917]
