0.038621	0.056533	0.003139	0.002367	0.023346	0.017097	0.046302
-0.001234	-0.038504	0.002448	-0.001119	-0.012787	0.000057	-0.010930
["DEM":0.478582,"REP":0.515976,"OTH":0.005442]	["DEM":0.150221,"REP":0.840544,"OTH":0.009235]	["DEM":0.885199,"REP":0.110057,"OTH":0.004744]	["DEM":0.249288,"REP":0.736467,"OTH":0.014245]	["DEM":0.212654,"REP":0.773870,"OTH":0.013476]	["DEM":0.497211,"REP":0.498327,"OTH":0.004463]	["DEM":0.373890,"REP":0.618028,"OTH":0.008082]
