0.532468	0.443517	0.563151	0.542729	0.716759	0.658415	0.480890	0.342707
0.004098	0.037932	0.032969	0.099275	0.238151	0.053678	0.079932	0.020623
["DEM":0.501797,"REP":0.494133,"GRE":0.001180,"IND":0.000132,"LIB":0.002758]	["DEM":0.540492,"REP":0.455324,"GRE":0.001426,"IND":0.000120,"LIB":0.002638]	["DEM":0.526438,"REP":0.468208,"GRE":0.001689,"IND":0.000182,"LIB":0.003483]	["DEM":0.588783,"REP":0.406692,"GRE":0.001432,"IND":0.000240,"LIB":0.002853]	["DEM":0.663770,"REP":0.332686,"GRE":0.001216,"IND":0.000194,"LIB":0.002134]	["DEM":0.537976,"REP":0.456870,"GRE":0.001295,"IND":0.000108,"LIB":0.003751]	["DEM":0.580264,"REP":0.414858,"GRE":0.001546,"IND":0.000136,"LIB":0.003195]	["DEM":0.527693,"REP":0.467788,"GRE":0.001310,"IND":0.000158,"LIB":0.003051]
