0.596525	0.409595	0.572758	0.549252	0.284174	0.380991	0.106729	0.239773
-0.031395	0.186815	0.208068	-0.128885	-0.050905	0.050022	-0.032117	-0.057102
["DEM":0.468479,"REP":0.520529,"OTH":0.010992]	["DEM":0.721198,"REP":0.269393,"OTH":0.009409]	["DEM":0.675496,"REP":0.315495,"OTH":0.009009]	["DEM":0.376044,"REP":0.606636,"OTH":0.017320]	["DEM":0.404836,"REP":0.581526,"OTH":0.013637]	["DEM":0.556797,"REP":0.427557,"OTH":0.015646]	["DEM":0.343430,"REP":0.639094,"OTH":0.017476]	["DEM":0.376166,"REP":0.611342,"OTH":0.012492]
