0.429232	0.642855	0.448383	0.247741	0.427038	0.735710	0.465556	0.168616	0.637889	0.392316	0.572962	0.633097	0.487652	0.771450	0.688694	0.487937	0.671763	0.775037	0.469049	0.476343	0.730289	0.580231	0.665069	0.706767	0.587666	0.834947	0.711190	0.295774	0.688828	0.217761	0.598047	0.783647	0.630464	0.597180	0.273890	0.661771
-0.203815	-0.274625	-0.180822	-0.046320	-0.145072	-0.195494	0.198104	0.034216	-0.132382	0.099790	-0.338712	-0.050289	0.018205	-0.088021	-0.074977	0.042500	0.243180	-0.112570	-0.184251	-0.059172	0.240626	0.137426	-0.128025	-0.058861	-0.148376	0.038229	0.125059	0.136849	-0.160046	-0.027012	-0.183977	-0.296190	-0.042888	0.145478	-0.105024	-0.122886
["DEM":0.262582,"REP":0.737418]	["DEM":0.286402,"REP":0.713598]	["DEM":0.298362,"REP":0.701638]	["DEM":0.406515,"REP":0.593485]	["DEM":0.330142,"REP":0.669858]	["DEM":0.367139,"REP":0.632861]	["DEM":0.712761,"REP":0.287239]	["DEM":0.601460,"REP":0.398540]	["DEM":0.396234,"REP":0.603766]	["DEM":0.627180,"REP":0.372820]	["DEM":0.204420,"REP":0.795580]	["DEM":0.460284,"REP":0.539716]	["DEM":0.518666,"REP":0.481334]	["DEM":0.442951,"REP":0.557049]	["DEM":0.445566,"REP":0.554434]	["DEM":0.543550,"REP":0.456450]	["DEM":0.681001,"REP":0.318999]	["DEM":0.427378,"REP":0.572622]	["DEM":0.303591,"REP":0.696409]	["DEM":0.437890,"REP":0.562110]	["DEM":0.664748,"REP":0.335252]	["DEM":0.618424,"REP":0.381576]	["DEM":0.403751,"REP":0.596249]	["DEM":0.458359,"REP":0.541641]	["DEM":0.373758,"REP":0.626242]	["DEM":0.522893,"REP":0.477107]	["DEM":0.587922,"REP":0.412078]	["DEM":0.731341,"REP":0.268659]	["DEM":0.383827,"REP":0.616173]	["DEM":0.437978,"REP":0.562022]	["DEM":0.346185,"REP":0.653815]	["DEM":0.311018,"REP":0.688982]	["DEM":0.465987,"REP":0.534013]	["DEM":0.621804,"REP":0.378196]	["DEM":0.308273,"REP":0.691727]	["DEM":0.407154,"REP":0.592846]
