0.467608	0.419413	0.164489	0.599850	0.449192	0.472766	0.541974	0.623668	0.523465	0.304002	0.532839	0.515246	0.584994	0.599094	0.629703	0.536627
-0.100877	-0.067433	0.053504	-0.027204	-0.006022	0.242773	-0.066293	0.111504	-0.042678	0.002690	-0.103676	-0.116700	0.034082	-0.067919	0.154069	0.049120
["DEM":0.193190,"REP":0.299471,"OTH":0.007339]	["DEM":0.205837,"REP":0.284707,"OTH":0.009456]	["DEM":0.326760,"REP":0.166359,"OTH":0.006881]	["DEM":0.234281,"REP":0.256540,"OTH":0.009179]	["DEM":0.241660,"REP":0.248228,"OTH":0.010112]	["DEM":0.373771,"REP":0.120140,"OTH":0.006089]	["DEM":0.214924,"REP":0.274830,"OTH":0.010246]	["DEM":0.290970,"REP":0.202707,"OTH":0.006323]	["DEM":0.226070,"REP":0.266205,"OTH":0.007725]	["DEM":0.247751,"REP":0.243405,"OTH":0.008844]	["DEM":0.197144,"REP":0.292394,"OTH":0.010462]	["DEM":0.189773,"REP":0.300909,"OTH":0.009318]	["DEM":0.259462,"REP":0.230893,"OTH":0.009645]	["DEM":0.216849,"REP":0.272304,"OTH":0.010848]	["DEM":0.308047,"REP":0.186939,"OTH":0.005014]	["DEM":0.268746,"REP":0.223673,"OTH":0.007581]
