0.580043	0.484500	0.509872	0.443996	0.576706	0.654449	0.375741	0.370898	0.434845	0.569629	0.378661	0.561053	0.585926	0.564892	0.677650	0.624289	0.514904	0.547345
0.401816	0.067234	0.024714	-0.002683	-0.028097	0.123164	0.000597	0.074474	-0.016148	0.065379	0.085130	0.177431	0.374220	0.329877	0.108482	0.515899	0.017306	0.311442
["DEM":0.838829,"REP":0.153633,"OTH":0.007538]	["DEM":0.557395,"REP":0.430615,"OTH":0.011990]	["DEM":0.511976,"REP":0.475765,"OTH":0.012260]	["DEM":0.480514,"REP":0.503021,"OTH":0.016464]	["DEM":0.459026,"REP":0.524360,"OTH":0.016615]	["DEM":0.581902,"REP":0.405903,"OTH":0.012195]	["DEM":0.481027,"REP":0.499206,"OTH":0.019767]	["DEM":0.583227,"REP":0.399603,"OTH":0.017170]	["DEM":0.465728,"REP":0.518567,"OTH":0.015705]	["DEM":0.539898,"REP":0.442613,"OTH":0.017489]	["DEM":0.600811,"REP":0.387590,"OTH":0.011598]	["DEM":0.647406,"REP":0.341877,"OTH":0.010717]	["DEM":0.807040,"REP":0.180659,"OTH":0.012300]	["DEM":0.780899,"REP":0.208018,"OTH":0.011083]	["DEM":0.566886,"REP":0.419957,"OTH":0.013157]	["DEM":0.904799,"REP":0.086811,"OTH":0.008390]	["DEM":0.504528,"REP":0.483195,"OTH":0.012277]	["DEM":0.775524,"REP":0.215498,"OTH":0.008978]
