0.535916	0.555796	0.683814	0.671405	0.462210	0.372458	0.483795	0.337534	0.466191	0.694907	0.527135	0.449799	0.416066	0.475981	0.580440	0.523730	0.333423	0.630947
0.398613	-0.048860	0.116082	-0.088063	0.092965	-0.024045	0.046401	-0.029044	0.003618	0.094377	0.333456	-0.038760	-0.064863	0.009594	-0.001341	0.134627	0.063753	-0.021728
["DEM":0.871899,"REP":0.128101]	["DEM":0.456045,"REP":0.543955]	["DEM":0.584878,"REP":0.415122]	["DEM":0.434419,"REP":0.565581]	["DEM":0.600566,"REP":0.399434]	["DEM":0.467722,"REP":0.532278]	["DEM":0.547955,"REP":0.452045]	["DEM":0.456976,"REP":0.543024]	["DEM":0.503880,"REP":0.496120]	["DEM":0.567906,"REP":0.432094]	["DEM":0.816291,"REP":0.183709]	["DEM":0.456915,"REP":0.543085]	["DEM":0.422052,"REP":0.577948]	["DEM":0.510078,"REP":0.489922]	["DEM":0.498845,"REP":0.501155]	["DEM":0.628527,"REP":0.371473]	["DEM":0.595604,"REP":0.404396]	["DEM":0.482782,"REP":0.517218]
