state	year	town	cd	cd2	g2010_ATG_dv	g2010_ATG_rv	g2010_ATG_tv	g2010_COM_dv	g2010_COM_tv	g2010_COM_rv	g2010_GOV_dv	g2010_GOV_tv	g2010_GOV_rv	g2010_SOS_dv	g2010_SOS_rv	g2010_SOS_tv	g2010_TRE_dv	g2010_TRE_rv	g2010_TRE_tv	g2010_USH_dv	g2010_USH_dv2	g2010_USH_tv	g2010_USH_tv2	g2010_USH_rv	g2010_USH_rv2	g2010_USS_dv	g2010_USS_rv	g2010_USS_tv
"CT"	2010	"Newtown"	5		4347	5928	10673	4075	10410	5740	4159	11000.0	6583	4388	5723	10657	4386	5797	10619	5423		10964.0		5236		4917	5890	11090.0
"CT"	2010	"Norfolk"	5		412	320	771	413	754	291	410	792.0	352	427	294	769	452	275	770	493		778.0		265		417	340	780.0
"CT"	2010	"North Branford"	3		2387	2462	5066	2364	4989	2341	2093	5267.0	2969	2219	2614	5114	2368	2504	5102	2875		5283.0		2174		2568	2546	5348.0
"CT"	2010	"North Canaan"	5		462	471	977	488	964	412	462	1021.0	520	502	422	984	507	418	976	562		1018.0		428		499	496	1026.0
"CT"	2010	"North Haven"	3		4555	4624	9631	4509	9450	4418	4132	10085.0	5573	4252	4952	9738	4483	4799	9710	5587		10115.0		4027		5110	4673	10254.0
"CT"	2010	"North Stonington"	2		881	1039	2035	899	1977	926	836	2097.0	1163	916	971	2039	941	984	2030	1186		2097.0		812		1028	958	2089.0
"CT"	2010	"Norwalk"	4		12255	9616	23033	11720	22742	9593	12610	23944.0	10272	12207	9475	23078	12280	9553	23042	13667		24024.0		9385		12926	10077	24125.0
"CT"	2010	"Norwich"	2		4754	3066	8384	4716	8129	2726	4542	8814.0	3793	4646	3135	8431	5017	2878	8473	5666		8772.0		2558		5203	3155	8874.0
"CT"	2010	"Old Lyme"	2		1852	1630	3609	1791	3522	1560	1647	3731.0	1991	1774	1698	3615	1886	1611	3615	2233		3734.0		1407		2063	1580	3736.0
"CT"	2010	"Old Saybrook"	2		2335	2246	4746	2265	4645	2161	2062	4887.0	2642	2211	2331	4747	2388	2202	4760	2713		4880.0		2034		2507	2208	4905.0
"CT"	2010	"Orange"	3		2740	3297	6189	2638	6105	3248	2600	6395.0	3656	2577	3399	6194	2612	3407	6187	3390		6370.0		2792		3007	3262	6451.0
"CT"	2010	"Oxford"	4		1750	2989	4908	1742	4802	2817	1621	5077.0	3314	1811	2892	4925	1860	2850	4897	1925		4993.0		2956		1959	3001	5118.0
"CT"	2010	"Plainfield"	2		1828	1807	3922	2001	3853	1537	1723	4050.0	2071	1976	1667	3948	2072	1613	3942	2228		4047.0		1596		1993	1826	4072.0
"CT"	2010	"Plainville"	5		3129	2527	5962	3123	5838	2369	2655	6161.0	3225	3044	2599	5971	3183	2555	5999	3611		6093.0		2256		3174	2768	6202.0
"CT"	2010	"Plymouth"	5		1616	2035	3877	1681	3790	1846	1382	3984.0	2412	1720	1916	3877	1774	1916	3887	2022		3961.0		1776		1698	2165	4031.0
"CT"	2010	"Pomfret"	2		715	859	1667	768	1630	746	741	1697.0	895	818	737	1668	810	752	1653	868		1704.0		785		834	819	1711.0
