0.510732	0.637294	0.437093	0.550844	0.571372	0.573528	0.616800	0.607072	0.567224	0.537706	0.300693	0.625120	0.648159
-0.092039	0.040287	-0.058429	0.111713	0.066105	0.075676	-0.053852	0.027220	0.039418	-0.114196	0.026636	-0.037811	0.096046
["DEM":0.407261,"REP":0.586312,"LIB":0.004298,"OTH":0.002128]	["DEM":0.526832,"REP":0.464183,"LIB":0.006005,"OTH":0.002980]	["DEM":0.429299,"REP":0.561783,"LIB":0.005323,"OTH":0.003595]	["DEM":0.595637,"REP":0.394777,"LIB":0.006418,"OTH":0.003168]	["DEM":0.552795,"REP":0.438148,"LIB":0.006095,"OTH":0.002961]	["DEM":0.560976,"REP":0.430194,"LIB":0.005880,"OTH":0.002950]	["DEM":0.451957,"REP":0.538427,"LIB":0.005933,"OTH":0.003683]	["DEM":0.518333,"REP":0.473845,"LIB":0.004911,"OTH":0.002910]	["DEM":0.530528,"REP":0.461583,"LIB":0.005219,"OTH":0.002670]	["DEM":0.388213,"REP":0.597570,"LIB":0.008442,"OTH":0.005775]	["DEM":0.537545,"REP":0.450062,"LIB":0.007053,"OTH":0.005339]	["DEM":0.466086,"REP":0.526100,"LIB":0.005468,"OTH":0.002346]	["DEM":0.569985,"REP":0.422863,"LIB":0.004691,"OTH":0.002461]
