0.067695	0.071508	0.201401	0.178539	0.145577	0.158802	0.000918	0.155192	0.124875	0.214475	0.056626	0.172598	0.065294	0.142032	0.145894	0.099594	0.093029	0.075517
0.008516	0.063073	0.046825	0.090988	0.064227	0.124192	0.000913	0.013717	0.020098	0.042337	0.007773	0.013945	0.000416	-0.003492	0.016977	0.010750	0.040898	0.002906
["DEM":0.550145,"REP":0.437097,"OTH":0.012758]	["DEM":0.937650,"REP":0.058981,"OTH":0.003369]	["DEM":0.602814,"REP":0.383752,"OTH":0.013434]	["DEM":0.744954,"REP":0.245188,"OTH":0.009858]	["DEM":0.705357,"REP":0.279405,"OTH":0.015238]	["DEM":0.879619,"REP":0.108971,"OTH":0.011411]	["DEM":0.996997,"REP":0.003003,"OTH":0.000000]	["DEM":0.530740,"REP":0.455808,"OTH":0.013452]	["DEM":0.570131,"REP":0.419526,"OTH":0.010343]	["DEM":0.588287,"REP":0.401302,"OTH":0.010411]	["DEM":0.554640,"REP":0.431365,"OTH":0.013995]	["DEM":0.527726,"REP":0.459603,"OTH":0.012672]	["DEM":0.484845,"REP":0.496816,"OTH":0.018339]	["DEM":0.471824,"REP":0.512293,"OTH":0.015883]	["DEM":0.538694,"REP":0.441816,"OTH":0.019490]	["DEM":0.535689,"REP":0.446030,"OTH":0.018281]	["DEM":0.710820,"REP":0.280185,"OTH":0.008995]	["DEM":0.500886,"REP":0.480758,"OTH":0.018356]
