0.122166	0.205368	0.090015	0.706708	0.432534	0.557962	0.600899	0.123624	0.523024
0.006142	0.012840	-0.022442	0.174704	0.004044	0.067264	-0.039461	-0.000808	-0.007432
["DEM":0.518852,"REP":0.469180,"LIB":0.011968]	["DEM":0.523540,"REP":0.461925,"LIB":0.014535]	["DEM":0.370798,"REP":0.617086,"LIB":0.012116]	["DEM":0.619210,"REP":0.373744,"LIB":0.007046]	["DEM":0.499020,"REP":0.489775,"LIB":0.011204]	["DEM":0.555228,"REP":0.435761,"LIB":0.009012]	["DEM":0.462912,"REP":0.527984,"LIB":0.009105]	["DEM":0.489874,"REP":0.496323,"LIB":0.013803]	["DEM":0.486187,"REP":0.500203,"LIB":0.013610]
