0.210774	0.418339	0.572457	0.437273
0.000541	-0.167363	-0.231851	-0.103708
["DEM":0.497981,"REP":0.495430,"OTH":0.006589]	["DEM":0.297848,"REP":0.695086,"OTH":0.007065]	["DEM":0.294637,"REP":0.695757,"OTH":0.009605]	["DEM":0.378531,"REP":0.613910,"OTH":0.007559]
