0.244265	0.383419	0.349342	0.663911	0.643564	0.453364	0.501893	0.542937	0.245271
0.147799	0.181331	0.131001	0.418362	0.222154	0.318683	0.334207	0.300830	0.116204
["DEM":0.788332,"REP":0.193965,"GRE":0.000304,"IND":0.000076,"LIB":0.002508,"REF":0.000038,"OTH":0.014776]	["DEM":0.725359,"REP":0.259561,"GRE":0.000207,"IND":0.000183,"LIB":0.003255,"REF":0.000085,"OTH":0.011350]	["DEM":0.680630,"REP":0.309382,"GRE":0.000034,"IND":0.000215,"LIB":0.001679,"REF":0.000023,"OTH":0.008037]	["DEM":0.808567,"REP":0.183450,"GRE":0.000039,"IND":0.000038,"LIB":0.001661,"REF":0.000039,"OTH":0.006207]	["DEM":0.666192,"REP":0.324286,"GRE":0.000067,"IND":0.000097,"LIB":0.001769,"REF":0.000000,"OTH":0.007589]	["DEM":0.843181,"REP":0.147090,"GRE":0.000088,"IND":0.000137,"LIB":0.001724,"REF":0.000000,"OTH":0.007780]	["DEM":0.825864,"REP":0.165633,"GRE":0.000104,"IND":0.000115,"LIB":0.001956,"REF":0.000009,"OTH":0.006319]	["DEM":0.770240,"REP":0.221010,"GRE":0.000067,"IND":0.000075,"LIB":0.001974,"REF":0.000025,"OTH":0.006610]	["DEM":0.728438,"REP":0.260093,"GRE":0.000023,"IND":0.000019,"LIB":0.002721,"REF":0.000042,"OTH":0.008666]
