0.246626	0.136041	0.405517	0.329923	0.734831
0.096719	0.044274	0.127730	0.025639	0.147656
["DEM":0.203252,"REP":0.088742,"GRE":0.000438,"IND":0.000602,"LIB":0.000155,"REF":0.000035,"OTH":0.206776]	["DEM":0.187142,"REP":0.095240,"GRE":0.000735,"IND":0.000035,"LIB":0.000248,"REF":0.000000,"OTH":0.216599]	["DEM":0.177861,"REP":0.092654,"GRE":0.000330,"IND":0.000107,"LIB":0.000083,"REF":0.000012,"OTH":0.228953]	["DEM":0.138444,"REP":0.118478,"GRE":0.000393,"IND":0.000424,"LIB":0.000204,"REF":0.000028,"OTH":0.242028]	["DEM":0.176072,"REP":0.117152,"GRE":0.000400,"IND":0.000497,"LIB":0.000205,"REF":0.000022,"OTH":0.205652]
