state	year	precinct	g2012_REG_tv	g2012_BALL_tv	g2012_USP_tv	g2012_USP_dv	g2012_USP_rv	g2012_USH_tv	g2012_USH_dv	g2012_USH_rv	g2012_STS_tv	g2012_STS_rv	g2012_STS_dv	sd	g2012_STH_tv	g2012_STH_rv	g2012_STH_dv	ld	cd
"AK"	2012	"38-918 Kotlik"	269	117	117	93	19	117	13	101	106		106	"S"	117	63	36	38	1
"AK"	2012	"38-920 Marshall"	215	100	97	74	19	98	19	78	94		94	"S"	97	48	25	38	1
"AK"	2012	"38-922 Mountain Village"	431	179	178	112	55	179	25	149	166		163	"S"	178	79	64	38	1
"AK"	2012	"38-928 Nunam Iqua"	95	53	52	45	4	53	8	45	51		51	"S"	52	38	5	38	1
"AK"	2012	"38-930 Pilot Station"	333	168	166	126	38	168	26	141	161		160	"S"	166	77	49	38	1
"AK"	2012	"38-936 Scammon Bay"	232	123	122	105	15	122	23	96	116		115	"S"	122	65	34	38	1
"AK"	2012	"38-940 St. Mary's"	349	121	121	104	14	121	33	84	114		112	"S"	120	37	61	38	1
"AK"	2012	"District 38 - Absentee"	0	1013	1009	518	435	967	396	478	671		591	"S"	899	381	434	38	1
"AK"	2012	"District 38 - Question"	0	403	396	233	131	283	69	185	97		93	"S"	100	40	43	38	1
"AK"	2012	"District 38 - Early Voting"	0	373	373	257	99	366	210	123	294		282	"S"	370	87	248	38	1
"AK"	2012	"39-005 Allakaket"	131	44	44	35	8	44	10	33	43	6	37	"T"	43		43	39	1
"AK"	2012	"39-007 Arctic Village"	105	51	51	50	0	50	42	7	49	3	46	"T"	48		47	39	1
"AK"	2012	"39-010 Beaver"	63	28	28	22	5	28	9	19	28	5	22	"T"	24		24	39	1
"AK"	2012	"39-012 Bettles"	98	14	14	6	7	14	4	10	14	6	8	"T"	12		12	39	1
"AK"	2012	"39-015 Central"	171	43	43	8	30	42	6	35	39	27	12	"T"	25		22	39	1
"AK"	2012	"39-020 Chistochina"	230	92	90	18	63	90	9	69	85	62	23	"T"	53		50	39	1
"AK"	2012	"39-023 Circle"	72	34	33	22	11	34	4	27	32	12	20	"T"	11		11	39	1
"AK"	2012	"39-025 Copper Center"	828	246	246	56	176	244	43	183	237	152	85	"T"	156		146	39	1
"AK"	2012	"39-027 Dot Lake"	112	45	45	5	37	44	1	41	39	35	3	"T"	18		17	39	1
"AK"	2012	"39-030 Eagle"	231	92	89	25	61	91	17	66	86	57	29	"T"	55		49	39	1
"AK"	2012	"39-033 Fort Yukon"	505	193	192	155	35	190	48	136	172	47	123	"T"	155		147	39	1
"AK"	2012	"39-035 Gakona"	272	106	106	35	71	105	16	81	99	52	47	"T"	72		68	39	1
"AK"	2012	"39-037 Galena"	248	178	177	89	81	178	37	135	172	68	103	"T"	158		151	39	1
"AK"	2012	"39-040 Hughes"	60	42	42	32	7	42	9	33	42	6	36	"T"	40		39	39	1
"AK"	2012	"39-043 Huslia"	173	100	100	77	22	99	22	73	99	29	70	"T"	87		86	39	1
"AK"	2012	"39-045 Kaltag"	132	58	58	48	9	58	9	49	56	16	40	"T"	53		53	39	1
"AK"	2012	"39-047 Kenny Lake"	336	136	136	37	89	132	28	87	126	81	44	"T"	78		69	39	1
"AK"	2012	"39-050 Koyukuk"	69	37	37	32	2	37	12	24	37	8	28	"T"	37		36	39	1
"AK"	2012	"39-053 Mentasta"	88	38	38	23	11	36	11	21	29	13	16	"T"	28		28	39	1
"AK"	2012	"39-055 Northway"	230	63	63	42	20	63	14	47	53	20	33	"T"	49		47	39	1
"AK"	2012	"39-060 Nulato"	194	82	80	57	20	81	12	67	79	25	54	"T"	75		74	39	1
"AK"	2012	"39-070 Stevens Village"	72	15	15	14	0	14	5	9	15	1	14	"T"	14		14	39	1
"AK"	2012	"39-075 Tanacross"	110	43	43	36	4	42	7	35	35	8	27	"T"	37		37	39	1
"AK"	2012	"39-085 Tetlin"	75	27	27	25	2	27	4	22	25	8	17	"T"	27		27	39	1
"AK"	2012	"39-090 Tok"	1137	483	482	130	318	471	81	333	443	267	173	"T"	287		259	39	1
"AK"	2012	"39-095 Venetie"	125	54	54	49	4	54	21	31	53	9	44	"T"	48		48	39	1
"AK"	2012	"39-400 Brevig Mission"	213	107	105	78	21	106	13	89	107	9	97	"T"	98		95	39	1
"AK"	2012	"39-405 Diomede"	72	25	24	15	9	24	8	14	23	1	22	"T"	22		22	39	1
"AK"	2012	"39-410 Elim"	185	105	103	74	20	102	12	88	104	3	101	"T"	93		93	39	1
"AK"	2012	"39-415 Gambell"	314	151	151	114	32	149	22	118	148	16	131	"T"	128		124	39	1
"AK"	2012	"39-420 Golovin"	109	77	76	52	21	75	7	66	76	2	74	"T"	65		64	39	1
"AK"	2012	"39-425 Koyuk"	200	100	100	75	23	98	18	80	97	2	95	"T"	89		87	39	1
"AK"	2012	"39-430 Nome No. 1"	1037	459	459	257	181	451	122	305	446	92	350	"T"	402		383	39	1
"AK"	2012	"39-435 Nome No. 2"	1449	628	623	364	221	614	176	419	613	92	518	"T"	553		537	39	1
"AK"	2012	"39-440 Savoonga"	405	232	231	191	32	232	49	173	229	17	212	"T"	220		219	39	1
"AK"	2012	"39-445 Shaktoolik"	150	82	82	57	20	82	8	69	81	2	79	"T"	74		74	39	1
"AK"	2012	"39-450 Shishmaref"	340	195	194	154	36	193	34	159	194	14	180	"T"	183		182	39	1
"AK"	2012	"39-455 St. Michael"	199	69	67	42	19	69	11	56	68	11	57	"T"	63		63	39	1
"AK"	2012	"39-460 Stebbins"	289	106	97	61	30	97	22	70	94	15	79	"T"	83		82	39	1
"AK"	2012	"39-465 Teller"	158	61	61	43	13	60	13	46	61	5	56	"T"	57		55	39	1
"AK"	2012	"39-470 Unalakleet"	523	270	268	163	89	267	57	206	264	21	242	"T"	241		241	39	1
"AK"	2012	"39-475 Wales"	101	61	60	44	7	61	10	49	61	5	56	"T"	54		53	39	1
"AK"	2012	"39-480 White Mountain"	152	65	65	42	18	63	12	50	62	2	60	"T"	57		56	39	1
"AK"	2012	"District 39 - Absentee"	0	932	929	356	508	897	213	582	807	391	409	"T"	591		543	39	1
"AK"	2012	"District 39 - Question"	0	309	304	193	95	237	60	166	114	15	99	"T"	95		94	39	1
"AK"	2012	"District 39 - Early Voting"	0	229	228	142	78	225	80	134	222	46	169	"T"	197		183	39	1
"AK"	2012	"40-002 Ambler"	174	80	78	60	15	79	17	61	78	9	69	"T"	70		68	40	1
"AK"	2012	"40-004 Anaktuvuk Pass"	247	89	89	63	23	89	18	69	89	18	71	"T"	88		84	40	1
"AK"	2012	"40-006 Atqasuk"	147	56	55	37	15	56	21	33	55	5	50	"T"	53		50	40	1
"AK"	2012	"40-008 Barrow"	1015	373	372	242	112	372	93	256	367	70	290	"T"	347		332	40	1
"AK"	2012	"40-010 Browerville"	1747	769	768	501	231	765	166	550	757	127	623	"T"	727		696	40	1
"AK"	2012	"40-012 Buckland"	354	91	91	74	12	91	24	62	90	7	82	"T"	82		81	40	1
"AK"	2012	"40-014 Deering"	83	34	34	29	4	34	13	21	34	1	33	"T"	28		27	40	1
"AK"	2012	"40-016 Kaktovik"	186	88	86	54	28	84	17	65	84	17	67	"T"	83		80	40	1
"AK"	2012	"40-018 Kiana"	227	77	77	51	26	76	10	61	73	10	63	"T"	64		57	40	1
"AK"	2012	"40-020 Kivalina"	215	93	93	58	32	93	18	69	93	14	79	"T"	88		85	40	1
"AK"	2012	"40-022 Kobuk"	82	34	34	30	3	33	3	30	33	2	31	"T"	31		31	40	1
"AK"	2012	"40-024 Kotzebue"	1947	737	736	481	220	726	179	508	713	126	581	"T"	621		593	40	1
"AK"	2012	"40-026 Noatak"	280	138	136	82	47	137	13	119	136	15	121	"T"	125		123	40	1
"AK"	2012	"40-028 Noorvik"	369	144	144	77	59	144	17	127	143	16	126	"T"	136		134	40	1
"AK"	2012	"40-030 Nuiqsut"	262	114	114	68	41	114	16	93	113	22	91	"T"	108		104	40	1
"AK"	2012	"40-032 Point Hope"	400	159	158	118	38	159	37	116	156	20	136	"T"	148		147	40	1
"AK"	2012	"40-034 Point Lay"	128	41	40	24	14	40	8	29	39	9	30	"T"	37		37	40	1
"AK"	2012	"40-036 Selawik"	404	152	148	108	33	150	21	127	152	29	122	"T"	138		135	40	1
"AK"	2012	"40-038 Shungnak"	151	78	76	66	10	74	18	56	73	6	67	"T"	67		65	40	1
"AK"	2012	"40-040 Wainwright"	350	155	155	93	56	155	14	130	155	30	124	"T"	150		143	40	1
"AK"	2012	"District 40 - Absentee"	0	482	480	241	229	395	121	252	328	64	264	"T"	301		277	40	1
"AK"	2012	"District 40 - Question"	0	271	268	157	99	184	30	142	109	14	92	"T"	97		94	40	1
"AK"	2012	"District 40 - Early Voting"	0	3	3	3	0	3	0	3	3	0	3	"T"	2		1	40	1
