0.683979	0.592359	0.509761	0.574358	0.569626	0.597069	0.603477	0.519007	0.587343	0.307225	0.075217
0.085913	0.071766	0.108741	0.041077	-0.047590	-0.055904	-0.117273	-0.088799	0.144593	0.047170	-0.021930
["DEM":0.562804,"REP":0.437196]	["DEM":0.560577,"REP":0.439423]	["DEM":0.606658,"REP":0.393342]	["DEM":0.535759,"REP":0.464241]	["DEM":0.458227,"REP":0.541773]	["DEM":0.453185,"REP":0.546815]	["DEM":0.402836,"REP":0.597164]	["DEM":0.414452,"REP":0.585548]	["DEM":0.623090,"REP":0.376910]	["DEM":0.576768,"REP":0.423232]	["DEM":0.354218,"REP":0.645782]
