"county"	"precinct"	"ld"	"sd"	"cd"	"state"	"year"	"g2014_GOV_dv"	"g2014_GOV_rv"	"g2014_GOV_tv"	"g2014_SC_dv"	"g2014_SC_nv"	"g2014_SC_rv"	"g2014_SC_tv"	"g2014_SC_yv"	"g2014_STH_dv"	"g2014_STH_rv"	"g2014_STH_tv"	"g2014_STS_dv"	"g2014_STS_rv"	"g2014_STS_tv"	"g2014_USH_dv"	"g2014_USH_rv"	"g2014_USH_tv"	"g2014_USS_dv"	"g2014_USS_rv"	"g2014_USS_tv"
"06"	"027 Dot Lake"	"6"	"C"	"1"	"AK"	2014		33	40		12			22	5	32	37	6	34	40	2	36	40	4	30	39
"06"	"030 Eagle"	"6"	"C"	"1"	"AK"	2014		43	80		36			36	27	48	76	25	52	77	26	49	79	24	47	78
"06"	"033 Fort Yukon"	"6"	"C"	"1"	"AK"	2014		36	147		47			86	110	28	138	99	44	143	55	88	147	123	23	148
"06"	"035 Gakona"	"6"	"C"	"1"	"AK"	2014		51	90		39			35	34	53	87	21	61	83	17	69	89	28	56	90
"06"	"040 Healy"	"6"	"C"	"1"	"AK"	2014		195	333		98			178	70	270	340	102	228	330	118	187	337	143	185	345
"06"	"047 Kenny Lake"	"6"	"C"	"1"	"AK"	2014		68	136		66			46	49	83	133	39	92	131	41	79	133	53	76	136
"06"	"050 Manley Hot Springs"	"6"	"C"	"1"	"AK"	2014		21	48		25			18	16	29	45	12	35	48	16	21	46	20	22	47
"06"	"053 Mentasta"	"6"	"C"	"1"	"AK"	2014		9	46		28			12	39	6	45	27	17	44	14	28	46	38	6	46
"06"	"054 Minto"	"6"	"C"	"1"	"AK"	2014		13	71		31			36	54	13	67	39	30	69	31	36	69	56	8	70
"06"	"056 Nenana"	"6"	"C"	"1"	"AK"	2014		121	274		134			117	82	180	263	84	178	266	75	159	274	95	150	274
"06"	"060 Northway"	"6"	"C"	"1"	"AK"	2014		35	76		32			39	51	24	75	59	20	79	21	53	78	43	21	76
"06"	"070 Stevens Village"	"6"	"C"	"1"	"AK"	2014		6	13		7			5	12	1	13	13	0	13	7	5	12	11	2	13
"06"	"075 Tanacross"	"6"	"C"	"1"	"AK"	2014		10	47		23			22	40	7	47	28	19	47	22	24	47	35	10	47
"06"	"080 Tanana"	"6"	"C"	"1"	"AK"	2014		13	78		36			28	56	13	69	32	45	77	34	38	78	70	7	79
"06"	"085 Tetlin"	"6"	"C"	"1"	"AK"	2014		11	40		19			22	37	4	41	29	11	40	15	25	41	36	4	41
"06"	"090 Tok"	"6"	"C"	"1"	"AK"	2014		248	438		203			188	142	280	427	128	301	433	95	296	443	120	284	446
"06"	"095 Venetie"	"6"	"C"	"1"	"AK"	2014		20	62		21			37	55	5	60	46	15	61	32	26	62	54	4	62
"06"	"145 Eielson"	"6"	"C"	"1"	"AK"	2014		188	249		70			136	30	207	238	28	213	243	35	192	250	34	211	252
"06"	"150 Fox"	"6"	"C"	"1"	"AK"	2014		105	236		120			90	70	160	234	68	163	234	69	141	240	78	141	240
