"county"	"precinct"	"ld"	"sd"	"cd"	"state"	"year"	"g2014_GOV_dv"	"g2014_GOV_rv"	"g2014_GOV_tv"	"g2014_SC_dv"	"g2014_SC_nv"	"g2014_SC_rv"	"g2014_SC_tv"	"g2014_SC_yv"	"g2014_STH_dv"	"g2014_STH_rv"	"g2014_STH_tv"	"g2014_STS_dv"	"g2014_STS_rv"	"g2014_STS_tv"	"g2014_USH_dv"	"g2014_USH_rv"	"g2014_USH_tv"	"g2014_USS_dv"	"g2014_USS_rv"	"g2014_USS_tv"
"21"	"635 Turnagain No. 3"	"21"	"K"	"1"	"AK"	2014		316	848		199			506	431	414	845	445	409	855	459	351	855	500	320	859
"22"	"640 Dimond No. 1"	"22"	"K"	"1"	"AK"	2014		421	909		278			453	336	549	889	326	564	892	374	463	903	385	463	911
"22"	"645 Kincaid"	"22"	"K"	"1"	"AK"	2014		763	1400		344			804	566	796	1370	465	914	1384	561	746	1394	541	799	1409
"22"	"650 Jewel Lake No. 1"	"22"	"K"	"1"	"AK"	2014		290	625		162			354	259	349	609	256	358	614	258	319	627	302	281	627
"22"	"655 Jewel Lake No. 2"	"22"	"K"	"1"	"AK"	2014		275	611		177			319	243	347	595	233	371	605	260	319	616	267	313	622
"22"	"660 Campbell Lake"	"22"	"K"	"1"	"AK"	2014		497	1015		251			560	447	538	992	385	623	1009	420	523	1013	472	502	1028
"22"	"665 Sand Lake No. 4"	"22"	"K"	"1"	"AK"	2014		346	768		202			428	323	422	748	306	452	759	341	363	764	364	362	773
"22"	"670 Sand Lake No. 5"	"22"	"K"	"1"	"AK"	2014		199	377		109			207	159	212	374	126	252	378	161	194	376	157	206	381
"23"	"735 Northwood"	"23"	"NA"	"1"	"AK"	2014		182	403		121			215	283		312				181	196	402	219	155	407
"23"	"740 Arctic"	"23"	"NA"	"1"	"AK"	2014		285	672		191			362	462		502				319	308	670	350	292	675
"23"	"745 Midtown No. 3"	"23"	"NA"	"1"	"AK"	2014		161	360		92			207	249		272				161	170	361	181	159	366
"23"	"750 Taku"	"23"	"NA"	"1"	"AK"	2014		319	669		213			347	458		504				284	330	667	320	309	674
"23"	"755 Campbell Creek No. 1"	"23"	"NA"	"1"	"AK"	2014		317	660		205			338	486		519				256	365	658	299	321	661
"23"	"760 Campbell Creek No. 2"	"23"	"NA"	"1"	"AK"	2014		179	405		136			204	293		312				174	207	408	194	196	411
"23"	"765 Campbell Creek No. 3"	"23"	"NA"	"1"	"AK"	2014		356	791		235			417	579		624				351	379	787	378	384	796
"23"	"770 Dimond No. 2"	"23"	"NA"	"1"	"AK"	2014		227	530		194			249	395		422				221	266	534	276	215	540
"24"	"700 Huffman No. 1"	"24"	"NA"	"1"	"AK"	2014		414	824		249			440	281	505	791				346	414	821	353	430	830
"24"	"705 Huffman No. 2"	"24"	"NA"	"1"	"AK"	2014		306	650		190			339	220	385	612				279	333	649	288	324	652
"24"	"710 Klatt"	"24"	"NA"	"1"	"AK"	2014		504	955		273			513	302	625	929				398	512	951	398	522	959
"24"	"715 Southport"	"24"	"NA"	"1"	"AK"	2014		391	757		203			420	249	485	734				311	411	760	317	433	765
"24"	"720 Ocean View No. 1"	"24"	"NA"	"1"	"AK"	2014		348	750		236			407	259	457	723				281	403	746	325	386	751
"24"	"725 Ocean View No. 2"	"24"	"NA"	"1"	"AK"	2014		506	991		266			552	357	604	965				435	495	989	387	576	998
"24"	"730 Bayshore"	"24"	"NA"	"1"	"AK"	2014		620	1169		291			621	374	743	1122				503	597	1165	500	646	1180
"25"	"840 East Dowling No. 1"	"25"	"M"	"1"	"AK"	2014		87	203		68			108	100	97	198	78	117	197	81	104	203	107	84	208
"25"	"845 Elmore No. 1"	"25"	"M"	"1"	"AK"	2014		501	1100		336			573	468	599	1074	315	750	1070	485	544	1105	525	515	1111
"25"	"850 Abbott No. 1"	"25"	"M"	"1"	"AK"	2014		394	911		220			513	398	500	899	247	638	886	450	423	918	446	432	918
"25"	"855 Lore No. 1"	"25"	"M"	"1"	"AK"	2014		443	865		249			463	332	517	850	227	611	845	339	472	868	372	454	874
"25"	"860 Lore No. 2"	"25"	"M"	"1"	"AK"	2014		332	724		234			368	299	405	708	220	475	701	307	385	726	333	354	731
"25"	"865 Abbott No. 2"	"25"	"M"	"1"	"AK"	2014		301	609		177			342	254	341	597	160	431	592	276	298	609	274	306	613
"25"	"870 East Dowling No. 2"	"25"	"M"	"1"	"AK"	2014		348	794		214			428	357	415	773	240	525	767	355	375	793	378	365	798
"26"	"800 Independence Park No. 1"	"26"	"M"	"1"	"AK"	2014		403	797		239			431	259	499	760	230	533	766	320	407	795	338	418	803
"26"	"805 O'Malley No. 1"	"26"	"M"	"1"	"AK"	2014		410	756		208			408	224	503	731	186	543	733	315	401	758	302	431	763
"26"	"810 Huffman No. 3"	"26"	"M"	"1"	"AK"	2014		409	644		210			302	128	486	617	117	499	618	191	423	642	205	420	650
"26"	"815 Huffman No. 4"	"26"	"M"	"1"	"AK"	2014		525	929		253			490	254	637	892	214	683	897	353	524	921	350	557	934
"26"	"820 O'Malley No. 2"	"26"	"M"	"1"	"AK"	2014		524	1015		241			554	313	649	971	257	714	978	454	519	1018	443	559	1023
"26"	"825 Independence Park No. 2"	"26"	"M"	"1"	"AK"	2014		287	667		202			360	236	395	636	210	428	642	253	354	664	308	308	674
"26"	"830 Elmore No. 2"	"26"	"M"	"1"	"AK"	2014		237	409		115			217	119	263	385	96	301	398	171	212	406	161	233	408
"26"	"835 O'Malley No. 3"	"26"	"M"	"1"	"AK"	2014		136	343		91			179	135	190	326	122	207	330	155	153	342	172	148	349
"27"	"900 Cheney Lake"	"27"	"N"	"1"	"AK"	2014		521	1098		346			598	418	664	1082	477	611	1089	509	523	1102	515	535	1108
"27"	"905 Muldoon No. 3"	"27"	"N"	"1"	"AK"	2014		284	543		159			299	191	344	535	227	317	545	229	303	551	237	284	548
"27"	"910 Muldoon No. 4"	"27"	"N"	"1"	"AK"	2014		370	880		298			470	333	523	861	388	465	860	394	422	880	451	367	885
"27"	"915 Chugach Ft. Hills No. 1"	"27"	"N"	"1"	"AK"	2014		210	467		171			223	175	283	459	215	241	457	207	226	465	226	220	471
"27"	"920 Chugach Ft. Hills No. 2"	"27"	"N"	"1"	"AK"	2014		357	835		265			456	349	466	818	434	389	825	423	350	830	433	363	840
"27"	"925 Scenic Park"	"27"	"N"	"1"	"AK"	2014		353	734		226			376	241	471	718	312	402	721	317	369	737	327	367	741
"27"	"930 Baxter"	"27"	"N"	"1"	"AK"	2014		456	1113		280			602	472	617	1094	580	521	1106	566	475	1118	594	488	1130
"27"	"935 Stuckagain Heights"	"27"	"N"	"1"	"AK"	2014		98	222		53			130	117	102	219	115	106	221	120	91	219	124	94	222
"28"	"105 Rabbit Creek No. 1"	"28"	"N"	"1"	"AK"	2014		434	814		200			436	267	513	783	309	486	798	350	409	799	327	471	818
"28"	"110 Rabbit Creek No. 2"	"28"	"N"	"1"	"AK"	2014		660	1231		357			640	363	811	1182	446	749	1200	494	667	1216	498	693	1228
"28"	"115 Huffman No. 6"	"28"	"N"	"1"	"AK"	2014		471	786		192			429	190	557	749	265	499	765	304	434	784	266	511	797
"28"	"120 Huffman No. 7"	"28"	"N"	"1"	"AK"	2014		479	874		241			465	312	534	848	336	520	859	386	443	865	356	501	872
"28"	"125 Bear Valley"	"28"	"N"	"1"	"AK"	2014		255	574		151			282	232	325	559	263	302	567	295	247	576	270	283	578
"28"	"130 Indian"	"28"	"N"	"1"	"AK"	2014		39	126		39			57	58	67	125	59	61	120	67	53	128	70	51	128
"28"	"135 Girdwood"	"28"	"N"	"1"	"AK"	2014		165	757		181			355	455	274	735	497	247	747	542	167	768	547	185	784
"28"	"140 Golden View"	"28"	"N"	"1"	"AK"	2014		692	1237		308			669	359	827	1193	449	756	1208	540	629	1229	495	717	1240
"28"	"145 O'Malley No. 4"	"28"	"N"	"1"	"AK"	2014		391	795		203			418	307	465	775	324	447	776	385	368	790	375	403	797
"29"	"100 Bear Creek"	"29"	"O"	"1"	"AK"	2014		236	594		172			296	215	333	552		338	551	250	289	601	266	281	603
"29"	"110 Cooper Landing"	"29"	"O"	"1"	"AK"	2014		70	141		37			63	41	86	129		91	131	61	63	143	53	76	143
"29"	"115 Funny River No. 1"	"29"	"O"	"1"	"AK"	2014		194	320		137			125	52	250	307		255	308	75	206	321	75	221	320
"29"	"120 Hope"	"29"	"O"	"1"	"AK"	2014		28	70		21			29	31	34	65		28	62	36	32	73	40	29	74
"29"	"130 Mackey Lake"	"29"	"O"	"1"	"AK"	2014		268	408		146			174	70	326	397		332	401	115	256	406	98	280	411
"29"	"140 Moose Pass"	"29"	"O"	"1"	"AK"	2014		44	129		36			61	52	68	120		72	121	64	54	129	64	54	130
"29"	"150 Nikiski"	"29"	"O"	"1"	"AK"	2014		504	789		392			268	135	631	776		612	770	161	538	783	173	567	794
"29"	"160 Salamatof"	"29"	"O"	"1"	"AK"	2014		605	927		440			319	138	771	917		752	918	171	650	919	192	665	933
"29"	"170 Seward-Lowell Point"	"29"	"O"	"1"	"AK"	2014		278	670		172			370	242	383	630		375	632	293	321	675	300	309	677
"29"	"180 Sterling No. 1"	"29"	"O"	"1"	"AK"	2014		441	643		277			221	83	524	614		522	625	133	444	633	129	472	642
"29"	"190 Sterling No. 2"	"29"	"O"	"1"	"AK"	2014		509	769		340			261	120	619	740		601	750	177	526	767	176	531	769
"30"	"200 Central"	"30"	"O"	"1"	"AK"	2014		485	708		295			291	157	537	697		564	698	159	476	703	147	510	712
"30"	"210 K-Beach"	"30"	"O"	"1"	"AK"	2014		712	1057		401			451	231	798	1031		847	1033	271	701	1051	261	750	1061
"30"	"220 Kenai No. 1"	"30"	"O"	"1"	"AK"	2014		529	948		367			396	296	622	925		704	925	289	560	950	301	585	958
"30"	"230 Kenai No. 2"	"30"	"O"	"1"	"AK"	2014		322	530		211			196	147	368	518		403	518	153	329	526	165	325	526
"30"	"240 Kenai No. 3"	"30"	"O"	"1"	"AK"	2014		364	552		198			239	133	401	536		424	535	142	346	549	150	365	559
"30"	"250 Soldotna"	"30"	"O"	"1"	"AK"	2014		982	1584		563			684	389	1143	1543		1223	1546	443	988	1573	439	1021	1589
"31"	"300 Anchor Point"	"31"	"P"	"1"	"AK"	2014		426	722		283			277		625	638	117	551	680	163	463	719	198	467	721
"31"	"310 Diamond Ridge"	"31"	"P"	"1"	"AK"	2014		147	436		93			182		351	364	146	257	405	254	138	431	258	155	441
"31"	"320 Fox River"	"31"	"P"	"1"	"AK"	2014		96	221		57			94		198	202	53	158	212	75	120	224	85	124	225
"31"	"340 Funny River No. 2"	"31"	"P"	"1"	"AK"	2014		349	593		211			250		462	477	120	432	553	152	394	592	161	401	595
"31"	"350 Homer No. 1"	"31"	"P"	"1"	"AK"	2014		399	921		216			439		785	805	274	601	876	418	420	917	454	432	929
"31"	"360 Homer No. 2"	"31"	"P"	"1"	"AK"	2014		314	688		151			324		583	600	189	468	659	294	321	685	313	332	694
"31"	"370 Kachemak/Fritz Creek"	"31"	"P"	"1"	"AK"	2014		252	688		173			311		589	606	217	444	664	353	276	689	400	270	704
"31"	"380 Kasilof"	"31"	"P"	"1"	"AK"	2014		477	999		396			384		769	795	266	658	930	348	534	1003	352	541	1000
"31"	"390 Ninilchik"	"31"	"P"	"1"	"AK"	2014		236	490		212			199		410	423	126	336	463	151	272	491	160	282	491
"32"	"800 Chiniak"	"32"	"P"	"1"	"AK"	2014		11	33		13			12	9	25	34	8	24	32	11	21	34	16	14	34
"32"	"805 Cordova"	"32"	"P"	"1"	"AK"	2014		258	705		188			349	512	185	698	316	380	699	462	220	713	375	276	708
"32"	"810 Flats"	"32"	"P"	"1"	"AK"	2014		158	365		96			161	143	212	358	78	278	357	160	168	363	156	180	370
"32"	"815 Kodiak Island South"	"32"	"P"	"1"	"AK"	2014		13	25		5			18	3	22	25	2	22	25	4	17	25	5	13	25
"32"	"820 Kodiak No. 1"	"32"	"P"	"1"	"AK"	2014		279	662		141			357	227	422	653	104	549	654	298	316	659	308	308	667
"32"	"825 Kodiak No. 2"	"32"	"P"	"1"	"AK"	2014		264	606		153			331	238	370	609	149	448	598	275	300	612	295	284	619
"32"	"830 Mission Road"	"32"	"P"	"1"	"AK"	2014		612	1335		337			671	409	903	1316	202	1106	1312	591	660	1336	562	699	1339
"32"	"835 Old Harbor"	"32"	"P"	"1"	"AK"	2014		31	63		24			36	17	44	61	12	50	62	17	45	63	40	13	64
"32"	"840 Ouzinkie"	"32"	"P"	"1"	"AK"	2014		13	64		24			25	31	28	60	20	40	61	27	34	63	40	12	64
"32"	"845 Port Lions"	"32"	"P"	"1"	"AK"	2014		41	66		26			26	20	44	64	5	61	66	20	44	66	27	34	66
"32"	"847 Seldovia/Kachemak Bay"	"32"	"P"	"1"	"AK"	2014		56	162		48			62	64	85	149	53	98	151	71	79	161	77	71	164
"32"	"850 Tatitlek"	"32"	"P"	"1"	"AK"	2014		3	17		6			11	12	6	18	10	7	18	3	14	18	14	2	18
"32"	"855 Tyonek"	"32"	"P"	"1"	"AK"	2014		8	43		13			27	30	11	41	34	7	41	20	22	43	40	1	45
"32"	"860 Yakutat"	"32"	"P"	"1"	"AK"	2014		49	262		87			139	141	100	241	124	121	245	120	114	253	165	83	262
"33"	"500 Douglas"	"33"	"Q"	"1"	"AK"	2014		225	751		153			463	562	159	727	600	135	738	479	214	745	524	196	754
"33"	"505 Gustavus"	"33"	"Q"	"1"	"AK"	2014		58	189		39			111	134	56	190	121	68	189	110	57	191	120	63	196
"33"	"510 Juneau No. 1"	"33"	"Q"	"1"	"AK"	2014		224	739		144			464	563	148	716	585	139	727	479	211	736	513	202	746
"33"	"515 Juneau No. 2"	"33"	"Q"	"1"	"AK"	2014		151	918		139			602	796	99	897	795	99	901	735	141	914	770	124	920
"33"	"520 Juneau No. 3"	"33"	"Q"	"1"	"AK"	2014		152	424		76			263	332	77	411	337	83	420	281	114	420	281	125	425
"33"	"525 Lemon Creek"	"33"	"Q"	"1"	"AK"	2014		305	700		207			421	426	234	665	486	196	688	293	348	696	376	273	698
"33"	"530 North Douglas"	"33"	"Q"	"1"	"AK"	2014		168	641		101			403	493	133	628	513	122	635	440	182	639	459	166	643
"33"	"540 Skagway"	"33"	"Q"	"1"	"AK"	2014		132	370		87			195	258	98	360	251	111	367	176	152	373	220	127	378
"33"	"545 Haines No. 1"	"33"	"Q"	"1"	"AK"	2014		351	833		255			448	526	288	820	504	299	811	425	373	836	430	355	836
"33"	"550 Haines No. 2"	"33"	"Q"	"1"	"AK"	2014		41	100		32			47	60	37	97	60	36	96	46	49	102	52	43	101
"33"	"555 Klukwan"	"33"	"Q"	"1"	"AK"	2014		6	41		25			17	36	6	42	36	6	42	10	32	42	31	6	42
"34"	"400 Auke Bay"	"34"	"Q"	"1"	"AK"	2014		324	714		159			428	282	426	708	457	240	701	367	297	710	378	308	721
"34"	"410 Juneau Airport"	"34"	"Q"	"1"	"AK"	2014		265	543		118			336	196	337	535	312	211	530	236	250	531	264	242	541
"34"	"420 Lynn Canal"	"34"	"Q"	"1"	"AK"	2014		237	568		101			358	250	314	567	384	179	565	313	210	569	316	239	573
"34"	"430 Mendenhall Valley No. 1"	"34"	"Q"	"1"	"AK"	2014		343	690		173			433	227	451	683	440	233	678	297	325	685	325	321	687
"34"	"440 Mendenhall Valley No. 2"	"34"	"Q"	"1"	"AK"	2014		417	851		209			518	278	558	840	550	277	832	372	405	844	401	384	855
"34"	"450 Mendenhall Valley No. 3"	"34"	"Q"	"1"	"AK"	2014		440	835		229			499	271	564	837	550	278	829	355	419	831	371	409	835
"34"	"460 Mendenhall Valley No. 4"	"34"	"Q"	"1"	"AK"	2014		542	1069		257			644	365	702	1068	690	365	1057	498	505	1065	528	490	1074
"35"	"700 Angoon"	"35"	"NA"	"1"	"AK"	2014		38	192		74			111	149	37	186				87	97	190	140	29	189
"35"	"705 Craig"	"35"	"NA"	"1"	"AK"	2014		166	365		106			209	205	149	355				144	174	366	179	153	368
"35"	"720 Hoonah"	"35"	"NA"	"1"	"AK"	2014		151	362		131			193	230	128	358				138	191	355	212	125	361
"35"	"730 Kake"	"35"	"NA"	"1"	"AK"	2014		56	194		63			111	141	53	195				84	99	197	123	49	194
"35"	"735 Kasaan"	"35"	"NA"	"1"	"AK"	2014		12	21		5			7	16	5	21				6	11	20	7	9	20
"35"	"740 Klawock"	"35"	"NA"	"1"	"AK"	2014		100	268		93			162	181	92	275				98	148	270	162	102	278
"35"	"745 North Prince of Wales"	"35"	"NA"	"1"	"AK"	2014		54	80		18			38	34	43	77				12	62	82	27	47	82
"35"	"750 Pelican-Elfin Cove"	"35"	"NA"	"1"	"AK"	2014		22	47		13			24	26	21	47				11	28	45	12	24	47
"35"	"755 Petersburg-Kupreanof"	"35"	"NA"	"1"	"AK"	2014		525	1034		258			594	442	596	1039				336	576	1025	467	507	1057
"35"	"760 Port Alexander"	"35"	"NA"	"1"	"AK"	2014		7	18		4			7	17	2	19				9	8	18	13	5	19
"35"	"765 Sitka No. 1"	"35"	"NA"	"1"	"AK"	2014		567	1443		389			827	909	540	1457				675	661	1442	791	558	1458
"35"	"770 Sitka No. 2"	"35"	"NA"	"1"	"AK"	2014		481	1392		310			837	941	468	1413				751	587	1415	878	453	1424
"35"	"775 Tenakee Springs"	"35"	"NA"	"1"	"AK"	2014		12	46		14			17	31	14	45				25	14	46	23	13	47
"35"	"780 Thorne Bay"	"35"	"NA"	"1"	"AK"	2014		123	186		60			91	51	126	180				37	130	187	36	127	187
"36"	"600 Ketchikan No. 1"	"36"	"NA"	"1"	"AK"	2014		201	596		137			386		215	598				256	289	599	309	239	604
"36"	"610 Ketchikan No. 2"	"36"	"NA"	"1"	"AK"	2014		408	876		237			518		359	876				319	462	859	371	431	879
"36"	"620 Ketchikan No. 3"	"36"	"NA"	"1"	"AK"	2014		314	592		155			352		308	602				174	373	595	203	350	597
"36"	"640 North Tongass No. 1"	"36"	"NA"	"1"	"AK"	2014		182	334		94			207		217	336				87	222	335	106	216	340
"36"	"650 North Tongass No. 2"	"36"	"NA"	"1"	"AK"	2014		390	747		210			430		435	751				203	481	741	253	459	748
"36"	"660 Saxman"	"36"	"NA"	"1"	"AK"	2014		27	112		43			64		41	111				43	65	112	62	43	110
"36"	"670 South Tongass"	"36"	"NA"	"1"	"AK"	2014		330	632		152			375		327	635				217	353	626	234	376	636
"36"	"675 Hydaburg"	"36"	"NA"	"1"	"AK"	2014		17	102		45			45		30	95				49	50	104	80	13	105
"36"	"680 Metlakatla"	"36"	"NA"	"1"	"AK"	2014		174	473		184			236		184	465				109	342	478	285	138	478
"36"	"690 Wrangell"	"36"	"NA"	"1"	"AK"	2014		447	742		212			426		471	744				165	522	743	240	438	747
"37"	"300 Anvik"	"37"	"S"	"1"	"AK"	2014		8	35		10			21	32		32	34		34	13	21	35	26	5	35
"37"	"302 Grayling"	"37"	"S"	"1"	"AK"	2014		27	61		26			27	47		48	53		54	11	47	61	40	8	59
"37"	"304 Holy Cross"	"37"	"S"	"1"	"AK"	2014		19	73		35			33	66		66	65		65	30	39	73	65	7	73
"37"	"306 McGrath"	"37"	"S"	"1"	"AK"	2014		57	123		48			59	87		92	88		97	41	71	125	58	59	124
"37"	"308 Nikolai"	"37"	"S"	"1"	"AK"	2014		15	49		21			18	42		42	43		44	15	28	47	37	9	49
"37"	"310 Shageluk"	"37"	"S"	"1"	"AK"	2014		8	27		12			13	26		26	27		27	14	11	27	26	0	27
"37"	"312 Takotna"	"37"	"S"	"1"	"AK"	2014		3	8		6			1	3		4	3		4	0	7	8	1	5	8
"37"	"700 Akutan"	"37"	"S"	"1"	"AK"	2014		27	71		19			48	62		64	63		65	32	37	75	40	27	74
"37"	"702 Aleknagik"	"37"	"S"	"1"	"AK"	2014		13	54		18			31	51		52	53		53	18	36	55	46	6	54
"37"	"704 Aleutians No. 1"	"37"	"S"	"1"	"AK"	2014		18	32		9			18	26		27	26		27	13	19	34	19	12	32
"37"	"706 Aleutians No. 2"	"37"	"S"	"1"	"AK"	2014		276	645		114			362	510		527	501		526	302	297	650	376	227	654
"37"	"708 Chignik"	"37"	"S"	"1"	"AK"	2014		13	25		9			15	19		20	19		20	5	15	25	14	8	25
"37"	"710 Clark's Point"	"37"	"S"	"1"	"AK"	2014		5	19		4			10	17		18	17		18	5	14	19	18	1	19
"37"	"712 Cold Bay"	"37"	"S"	"1"	"AK"	2014		17	21		7			10	11		11	11		11	3	15	21	4	15	21
"37"	"714 Dillingham"	"37"	"S"	"1"	"AK"	2014		184	719		175			413	656		670	612		633	377	305	717	519	157	721
"37"	"716 Egegik"	"37"	"S"	"1"	"AK"	2014		13	23		9			12	19		19	19		19	5	15	23	12	8	25
"37"	"718 Ekwok"	"37"	"S"	"1"	"AK"	2014		6	16		9			6	16		16	13		14	2	14	16	14	1	16
"37"	"720 King Cove"	"37"	"S"	"1"	"AK"	2014		107	153		37			91	128		131	129		131	25	130	159	83	68	156
"37"	"722 King Salmon"	"37"	"S"	"1"	"AK"	2014		77	124		43			58	94		99	88		98	28	85	124	35	82	125
"37"	"724 Koliganek"	"37"	"S"	"1"	"AK"	2014		6	29		4			15	27		27	24		24	17	11	29	27	0	28
"37"	"726 Lake Iliamna No. 1"	"37"	"S"	"1"	"AK"	2014		46	85		27			49	64		67	67		70	32	53	85	51	29	85
"37"	"728 Lake Iliamna No. 2"	"37"	"S"	"1"	"AK"	2014		22	56		15			27	47		49	46		48	14	39	57	31	17	56
"37"	"730 Levelock"	"37"	"S"	"1"	"AK"	2014		4	24		7			16	23		24	22		24	4	15	24	20	1	24
"37"	"732 Manokotak"	"37"	"S"	"1"	"AK"	2014		46	123		51			73	119		121	119		121	36	85	129	102	18	128
"37"	"734 Naknek"	"37"	"S"	"1"	"AK"	2014		73	162		51			83	140		141	132		136	62	96	166	88	69	166
"37"	"736 New Stuyahok"	"37"	"S"	"1"	"AK"	2014		40	141		37			75	135		143	128		129	56	82	144	127	9	144
"37"	"738 Nondalton"	"37"	"S"	"1"	"AK"	2014		14	54		35			19	54		55	51		52	28	25	55	42	7	55
"37"	"740 Pedro Bay"	"37"	"S"	"1"	"AK"	2014		8	16		8			9	14		14	14		15	7	10	17	13	5	18
"37"	"742 Port Heiden"	"37"	"S"	"1"	"AK"	2014		10	27		5			19	21		21	19		19	7	21	28	18	9	28
"37"	"744 Sand Point"	"37"	"S"	"1"	"AK"	2014		72	169		52			83	148		151	145		149	41	124	171	81	73	171
"37"	"746 Sleetmute"	"37"	"S"	"1"	"AK"	2014		11	24		10			11	20		21	21		21	2	16	24	13	3	24
"37"	"748 South Naknek"	"37"	"S"	"1"	"AK"	2014		7	20		9			10	19		20	21		21	6	14	21	15	5	22
"37"	"750 St. George Island"	"37"	"S"	"1"	"AK"	2014		14	28		12			15	27		27	27		27	10	17	28	22	5	28
"37"	"752 St. Paul Island"	"37"	"S"	"1"	"AK"	2014		42	129		46			73	115		117	115		117	36	86	128	106	15	129
"37"	"754 Togiak"	"37"	"S"	"1"	"AK"	2014		74	203		82			114	193		197	186		190	63	137	205	156	32	206
"38"	"800 Akiachak"	"38"	"S"	"1"	"AK"	2014		28	98		42			51	92		93	94		97	30	64	99	84	12	99
"38"	"802 Akiak"	"38"	"S"	"1"	"AK"	2014		18	109		49			53	101		103	98		98	35	60	105	91	12	109
"38"	"804 Aniak"	"38"	"S"	"1"	"AK"	2014		64	170		70			85	141		146	139		146	38	118	168	99	59	167
"38"	"806 Atmautluak"	"38"	"S"	"1"	"AK"	2014		24	55		23			29	56		56	56		56	17	36	56	46	6	56
"38"	"808 Bethel No. 1"	"38"	"S"	"1"	"AK"	2014		171	579		181			366	499		538	482		536	226	317	575	420	135	581
"38"	"810 Bethel No. 2"	"38"	"S"	"1"	"AK"	2014		170	582		174			349	489		529	465		521	265	283	586	397	157	584
"38"	"812 Chefornak"	"38"	"S"	"1"	"AK"	2014		41	199		81			118	198		199	198		199	109	74	199	174	11	198
"38"	"814 Chuathbaluk"	"38"	"S"	"1"	"AK"	2014		8	26		12			13	25		25	25		25	6	18	26	18	7	25
"38"	"816 Crooked Creek"	"38"	"S"	"1"	"AK"	2014		12	26		14			11	25		25	25		25	3	20	26	17	5	26
"38"	"818 Eek"	"38"	"S"	"1"	"AK"	2014		40	94		35			59	85		85	90		92	21	72	94	73	16	95
"38"	"820 Goodnews Bay"	"38"	"S"	"1"	"AK"	2014		24	97		37			59	92		96	93		94	42	51	97	70	16	97
"38"	"822 Kasigluk"	"38"	"S"	"1"	"AK"	2014		39	99		40			59	97		99	98		99	31	67	99	87	7	99
"38"	"824 Kipnuk"	"38"	"S"	"1"	"AK"	2014		55	155		63			94	152		152	153		153	85	63	158	138	12	158
"38"	"826 Kongiganak"	"38"	"S"	"1"	"AK"	2014		25	147		67			79	147		148	146		146	62	72	149	134	4	149
"38"	"828 Kwethluk"	"38"	"S"	"1"	"AK"	2014		44	122		41			72	111		115	110		118	42	75	122	100	17	123
"38"	"830 Kwigillingok"	"38"	"S"	"1"	"AK"	2014		36	102		33			69	97		98	100		100	47	53	103	97	2	103
"38"	"832 Lower Kalskag"	"38"	"S"	"1"	"AK"	2014		36	95		39			54	89		90	91		91	16	74	97	71	18	97
"38"	"834 Marshall"	"38"	"S"	"1"	"AK"	2014		44	95		37			52	81		81	88		88	26	65	95	79	12	95
"38"	"836 Mekoryuk"	"38"	"S"	"1"	"AK"	2014		39	79		23			51	76		77	76		78	8	68	79	56	18	80
"38"	"838 Napakiak"	"38"	"S"	"1"	"AK"	2014		31	102		37			63	100		101	101		103	59	36	104	85	7	103
"38"	"840 Napaskiak"	"38"	"S"	"1"	"AK"	2014		39	99		37			60	96		97	94		96	37	59	99	84	10	99
"38"	"842 Newtok"	"38"	"S"	"1"	"AK"	2014		38	98		51			47	94		97	95		98	52	40	98	80	6	99
"38"	"844 Nightmute"	"38"	"S"	"1"	"AK"	2014		20	94		54			40	94		94	93		94	33	57	94	77	7	93
"38"	"846 Nunapitchuk"	"38"	"S"	"1"	"AK"	2014		29	103		36			66	99		99	101		101	10	89	104	82	19	104
"38"	"848 Quinhagak"	"38"	"S"	"1"	"AK"	2014		70	199		83			115	187		187	190		192	84	100	196	169	21	198
"38"	"850 Russian Mission"	"38"	"S"	"1"	"AK"	2014		59	131		49			72	123		125	123		125	30	97	132	86	27	133
"38"	"852 Toksook Bay"	"38"	"S"	"1"	"AK"	2014		36	199		80			91	189		190	194		195	104	82	200	185	13	203
"38"	"854 Tuluksak"	"38"	"S"	"1"	"AK"	2014		38	94		46			48	94		94	94		94	22	64	94	71	10	94
"38"	"856 Tuntutuliak"	"38"	"S"	"1"	"AK"	2014		43	106		38			67	102		103	102		102	27	74	105	88	12	107
"38"	"858 Tununak"	"38"	"S"	"1"	"AK"	2014		23	110		46			63	105		107	106		109	54	49	110	91	10	110
"38"	"860 Upper Kalskag"	"38"	"S"	"1"	"AK"	2014		21	46		23			24	44		44	43		45	11	36	49	21	19	48
"39"	"314 Galena"	"39"	"T"	"1"	"AK"	2014		73	176		44			116	150		156	151		157	68	96	176	110	56	175
"39"	"316 Huslia"	"39"	"T"	"1"	"AK"	2014		30	104		27			76	97		98	98		98	47	53	104	85	9	102
"39"	"318 Kaltag"	"39"	"T"	"1"	"AK"	2014		23	76		24			51	76		76	75		75	21	54	76	72	3	76
"39"	"320 Koyukuk"	"39"	"T"	"1"	"AK"	2014		5	43		21			18	36		36	35		35	21	16	41	40	2	43
"39"	"322 Nulato"	"39"	"T"	"1"	"AK"	2014		31	92		32			56	87		87	84		85	27	59	90	81	8	91
"39"	"324 Ruby"	"39"	"T"	"1"	"AK"	2014		14	50		23			22	36		36	37		37	19	29	50	38	10	50
