0.203278	0.109924	0.041726	0.041383	0.154229	0.116252	0.066945	0.169772	0.117818	0.194069	0.156276
-0.010945	0.012990	0.015471	-0.005992	-0.031445	-0.011074	-0.017886	-0.014301	0.022970	0.060265	-0.001786
["DEM":0.473078,"REP":0.526922]	["DEM":0.559085,"REP":0.440915]	["DEM":0.685383,"REP":0.314617]	["DEM":0.427599,"REP":0.572401]	["DEM":0.398057,"REP":0.601943]	["DEM":0.452369,"REP":0.547631]	["DEM":0.366413,"REP":0.633587]	["DEM":0.457882,"REP":0.542118]	["DEM":0.597482,"REP":0.402518]	["DEM":0.655268,"REP":0.344732]	["DEM":0.494287,"REP":0.505713]
