0.268950	0.543111	0.597912	0.324808	0.759067	0.289934	0.341554	0.673678	0.505864	0.536053	0.592423	0.671670	0.420227	0.500856
-0.092859	-0.207653	-0.126525	-0.093310	0.222272	-0.090980	-0.112918	0.044175	0.237724	-0.077543	-0.102104	-0.296567	-0.053819	-0.120149
["DEM":0.324827,"REP":0.667410,"LIB":0.007764]	["DEM":0.305703,"REP":0.684171,"LIB":0.010126]	["DEM":0.389429,"REP":0.598482,"LIB":0.012089]	["DEM":0.354414,"REP":0.640120,"LIB":0.005467]	["DEM":0.641277,"REP":0.350781,"LIB":0.007942]	["DEM":0.338970,"REP":0.648987,"LIB":0.012044]	["DEM":0.332325,"REP":0.660578,"LIB":0.007097]	["DEM":0.529812,"REP":0.464604,"LIB":0.005584]	["DEM":0.729982,"REP":0.263234,"LIB":0.006785]	["DEM":0.423640,"REP":0.566931,"LIB":0.009429]	["DEM":0.409006,"REP":0.579349,"LIB":0.011644]	["DEM":0.275808,"REP":0.711934,"LIB":0.012258]	["DEM":0.433575,"REP":0.560945,"LIB":0.005480]	["DEM":0.375870,"REP":0.613115,"LIB":0.011015]
