0.476074	0.660737	0.329757	0.685300	0.664864	0.534367	0.603905	0.540395	0.649378	0.723422	0.142001	0.545546	0.214792	0.356793	0.777651	0.185047	0.717002	0.758648	0.733536	0.152747	0.733551	0.241907	0.670273	0.470615	0.741508	0.656431	0.577368	0.065572	0.722722	0.686324	0.639151	0.144372	0.629454	0.258388	0.045101	0.620493
0.029438	-0.025918	-0.053524	0.050354	-0.134778	-0.013363	-0.175094	-0.191555	0.204376	0.224367	-0.002443	-0.141686	0.063210	0.133600	-0.325911	-0.086364	-0.172422	-0.203951	-0.138742	-0.062040	-0.141876	-0.090602	-0.251224	0.041843	-0.081018	0.273814	-0.259974	-0.031354	-0.099303	0.221917	-0.236750	-0.067240	-0.086428	-0.118622	0.030504	-0.053165
["DEM":0.530917,"REP":0.469083]	["DEM":0.480387,"REP":0.519613]	["DEM":0.418844,"REP":0.581156]	["DEM":0.536739,"REP":0.463261]	["DEM":0.398642,"REP":0.601358]	["DEM":0.487497,"REP":0.512503]	["DEM":0.355032,"REP":0.644968]	["DEM":0.322764,"REP":0.677236]	["DEM":0.657363,"REP":0.342637]	["DEM":0.655073,"REP":0.344927]	["DEM":0.491397,"REP":0.508603]	["DEM":0.370143,"REP":0.629857]	["DEM":0.647143,"REP":0.352857]	["DEM":0.687223,"REP":0.312777]	["DEM":0.290452,"REP":0.709548]	["DEM":0.266643,"REP":0.733357]	["DEM":0.379762,"REP":0.620238]	["DEM":0.365583,"REP":0.634417]	["DEM":0.405429,"REP":0.594571]	["DEM":0.296919,"REP":0.703081]	["DEM":0.403295,"REP":0.596705]	["DEM":0.312733,"REP":0.687267]	["DEM":0.312595,"REP":0.687405]	["DEM":0.544456,"REP":0.455544]	["DEM":0.445369,"REP":0.554631]	["DEM":0.708563,"REP":0.291437]	["DEM":0.274862,"REP":0.725138]	["DEM":0.260916,"REP":0.739084]	["DEM":0.431299,"REP":0.568701]	["DEM":0.661671,"REP":0.338329]	["DEM":0.314793,"REP":0.685207]	["DEM":0.267128,"REP":0.732872]	["DEM":0.431347,"REP":0.568653]	["DEM":0.270458,"REP":0.729542]	["DEM":0.838181,"REP":0.161819]	["DEM":0.457159,"REP":0.542841]
