0.388920	0.624189	0.385715	0.711689	0.638007	0.720519	0.450277	0.238663	0.393062	0.380123	0.339592	0.514464	0.153239	0.387251	0.577081	0.465564	0.180929	0.108793	0.242783	0.554850	0.572919	0.328900	0.458246	0.545995	0.713795	0.632945	0.638162
0.012971	0.411939	0.029000	0.513865	0.557633	0.558152	0.358245	0.142672	0.088415	0.053557	0.022041	0.049948	0.000434	0.020306	0.076337	-0.009540	0.000672	-0.015610	-0.035085	-0.025721	-0.028734	0.160083	0.182951	0.479356	0.553485	0.432556	0.390121
["DEM":0.514451,"REP":0.483324,"OTH":0.002225]	["DEM":0.826762,"REP":0.170020,"OTH":0.003218]	["DEM":0.533949,"REP":0.462407,"OTH":0.003644]	["DEM":0.858082,"REP":0.138982,"OTH":0.002936]	["DEM":0.931088,"REP":0.062988,"OTH":0.005923]	["DEM":0.882689,"REP":0.112673,"OTH":0.004638]	["DEM":0.893300,"REP":0.102194,"OTH":0.004506]	["DEM":0.794026,"REP":0.201102,"OTH":0.004873]	["DEM":0.609590,"REP":0.387531,"OTH":0.002879]	["DEM":0.567772,"REP":0.429553,"OTH":0.002675]	["DEM":0.529910,"REP":0.467548,"OTH":0.002542]	["DEM":0.545545,"REP":0.451456,"OTH":0.002999]	["DEM":0.499137,"REP":0.498584,"OTH":0.002279]	["DEM":0.523412,"REP":0.473782,"OTH":0.002807]	["DEM":0.563068,"REP":0.433859,"OTH":0.003073]	["DEM":0.487310,"REP":0.510245,"OTH":0.002445]	["DEM":0.499457,"REP":0.498144,"OTH":0.002399]	["DEM":0.424904,"REP":0.571743,"OTH":0.003353]	["DEM":0.426083,"REP":0.572255,"OTH":0.001662]	["DEM":0.474357,"REP":0.523179,"OTH":0.002465]	["DEM":0.472496,"REP":0.525077,"OTH":0.002427]	["DEM":0.740489,"REP":0.256639,"OTH":0.002873]	["DEM":0.695577,"REP":0.300379,"OTH":0.004044]	["DEM":0.935125,"REP":0.061025,"OTH":0.003849]	["DEM":0.882498,"REP":0.112295,"OTH":0.005207]	["DEM":0.835963,"REP":0.158299,"OTH":0.005738]	["DEM":0.801840,"REP":0.194340,"OTH":0.003820]
