0.121398	0.127198	0.070247	0.118550
-0.048564	-0.032524	-0.006399	-0.030863
["DEM":0.299981,"REP":0.700019]	["DEM":0.372152,"REP":0.627848]	["DEM":0.454457,"REP":0.545543]	["DEM":0.369831,"REP":0.630169]
